kernel_name,layout,use_smem,M,N,run,time_ms,bw_gbps,checksum
Ar_Br_direct,Ar_Br,0,16384,16384,59,1.792864,3593.385,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,60,1.788928,3601.291,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,61,1.792192,3594.733,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,62,1.792096,3594.925,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,63,1.788992,3601.162,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,64,1.792384,3594.347,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,65,1.791808,3595.503,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,66,1.790240,3598.652,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,67,1.792768,3593.578,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,68,1.796032,3587.047,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,69,1.792768,3593.578,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,70,1.793952,3591.206,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,71,1.790112,3598.909,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,72,1.795456,3588.198,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,73,1.790304,3598.524,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,74,1.793024,3593.065,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,75,1.793792,3591.526,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,76,1.794304,3590.501,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,77,1.791104,3596.916,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,78,1.792160,3594.797,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,79,1.791904,3595.310,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,80,1.792256,3594.604,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,81,1.791264,3596.595,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,82,1.790464,3598.202,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,83,1.792288,3594.540,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,84,1.791552,3596.017,40260355806.111153
