Running on nid002922
Threads: 96
Loading data...

=== GPU SWEEP: variant x tblock x coarsen x unroll ===
variant                            tblock   cf  median_ms ok
gpu_optimized_soa                      64   16    25.2890 PASS
gpu_optimized_soa_u                    64   16    25.3410 PASS
gpu_baseline_aos                      128    1     0.6779 PASS
gpu_baseline_aos_u                    128    1     0.6776 PASS
gpu_eigts_t_aos                       128    1     0.6686 PASS
gpu_eigts_t_aos_u                     128    1     0.6686 PASS
gpu_shared_bec_aos                    128    1     0.6860 PASS
gpu_shared_bec_aos_u                  128    1     0.6854 PASS
gpu_optimized_aos                     128    1     2.7303 PASS
gpu_optimized_aos_u                   128    1     2.7176 PASS
gpu_baseline_soa                      128    1     0.7135 PASS
gpu_baseline_soa_u                    128    1     0.7132 PASS
gpu_eigts_t_soa                       128    1     0.7042 PASS
gpu_eigts_t_soa_u                     128    1     0.7040 PASS
gpu_shared_bec_soa                    128    1     0.6878 PASS
gpu_shared_bec_soa_u                  128    1     0.6875 PASS
gpu_optimized_soa                     128    1     5.7827 PASS
gpu_optimized_soa_u                   128    1     5.7843 PASS
gpu_baseline_aos                      128    2     1.2267 PASS
gpu_baseline_aos_u                    128    2     1.2257 PASS
gpu_eigts_t_aos                       128    2     1.2176 PASS
gpu_eigts_t_aos_u                     128    2     1.2179 PASS
gpu_shared_bec_aos                    128    2     1.2535 PASS
gpu_shared_bec_aos_u                  128    2     1.2537 PASS
gpu_optimized_aos                     128    2     2.5709 PASS
gpu_optimized_aos_u                   128    2     2.5701 PASS
gpu_baseline_soa                      128    2     1.2836 PASS
gpu_baseline_soa_u                    128    2     1.2828 PASS
gpu_eigts_t_soa                       128    2     1.2602 PASS
gpu_eigts_t_soa_u                     128    2     1.2595 PASS
gpu_shared_bec_soa                    128    2     1.2470 PASS
gpu_shared_bec_soa_u                  128    2     1.2466 PASS
gpu_optimized_soa                     128    2     5.3551 PASS
gpu_optimized_soa_u                   128    2     5.3544 PASS
gpu_baseline_aos                      128    4     2.5150 PASS
gpu_baseline_aos_u                    128    4     2.5041 PASS
gpu_eigts_t_aos                       128    4     2.5229 PASS
gpu_eigts_t_aos_u                     128    4     2.4948 PASS
gpu_shared_bec_aos                    128    4     2.5571 PASS
gpu_shared_bec_aos_u                  128    4     2.5563 PASS
gpu_optimized_aos                     128    4     5.0418 PASS
gpu_optimized_aos_u                   128    4     5.0419 PASS
gpu_baseline_soa                      128    4     2.5448 PASS
gpu_baseline_soa_u                    128    4     2.5161 PASS
gpu_eigts_t_soa                       128    4     2.4985 PASS
gpu_eigts_t_soa_u                     128    4     2.5053 PASS
gpu_shared_bec_soa                    128    4     2.4601 PASS
gpu_shared_bec_soa_u                  128    4     2.4588 PASS
gpu_optimized_soa                     128    4    10.6941 PASS
gpu_optimized_soa_u                   128    4    10.6707 PASS
gpu_baseline_aos                      128    8     5.3868 PASS
gpu_baseline_aos_u                    128    8     5.3685 PASS
gpu_eigts_t_aos                       128    8     5.4110 PASS
gpu_eigts_t_aos_u                     128    8     5.3546 PASS
gpu_shared_bec_aos                    128    8     5.4598 PASS
gpu_shared_bec_aos_u                  128    8     5.4612 PASS
gpu_optimized_aos                     128    8     8.7406 PASS
gpu_optimized_aos_u                   128    8     8.7565 PASS
gpu_baseline_soa                      128    8     5.3747 PASS
gpu_baseline_soa_u                    128    8     5.3231 PASS
gpu_eigts_t_soa                       128    8     5.2904 PASS
gpu_eigts_t_soa_u                     128    8     5.3071 PASS
gpu_shared_bec_soa                    128    8     5.3100 PASS
gpu_shared_bec_soa_u                  128    8     5.2575 PASS
gpu_optimized_soa                     128    8    18.5112 PASS
gpu_optimized_soa_u                   128    8    18.5562 PASS
gpu_baseline_aos                      128   16     9.9713 PASS
gpu_baseline_aos_u                    128   16     9.9386 PASS
gpu_eigts_t_aos                       128   16     9.9993 PASS
gpu_eigts_t_aos_u                     128   16     9.8884 PASS
gpu_shared_bec_aos                    128   16    10.4077 PASS
gpu_shared_bec_aos_u                  128   16    10.4140 PASS
gpu_optimized_aos                     128   16    17.1599 PASS
gpu_optimized_aos_u                   128   16    17.1674 PASS
gpu_baseline_soa                      128   16    11.9416 PASS
gpu_baseline_soa_u                    128   16    11.9411 PASS
gpu_eigts_t_soa                       128   16    11.9732 PASS
gpu_eigts_t_soa_u                     128   16    11.9059 PASS
gpu_shared_bec_soa                    128   16    11.8759 PASS
gpu_shared_bec_soa_u                  128   16    11.9776 PASS
gpu_optimized_soa                     128   16    36.3511 PASS
gpu_optimized_soa_u                   128   16    36.3906 PASS
gpu_baseline_aos                      256    1     0.6638 PASS
gpu_baseline_aos_u                    256    1     0.6642 PASS
gpu_eigts_t_aos                       256    1     0.6504 PASS
gpu_eigts_t_aos_u                     256    1     0.6507 PASS
gpu_shared_bec_aos                    256    1     0.6669 PASS
gpu_shared_bec_aos_u                  256    1     0.6671 PASS
gpu_optimized_aos                     256    1     2.6357 PASS
gpu_optimized_aos_u                   256    1     2.6251 PASS
gpu_baseline_soa                      256    1     0.6995 PASS
gpu_baseline_soa_u                    256    1     0.6996 PASS
gpu_eigts_t_soa                       256    1     0.6901 PASS
gpu_eigts_t_soa_u                     256    1     0.6900 PASS
gpu_shared_bec_soa                    256    1     0.6609 PASS
gpu_shared_bec_soa_u                  256    1     0.6606 PASS
gpu_optimized_soa                     256    1     5.8652 PASS
gpu_optimized_soa_u                   256    1     5.8560 PASS
gpu_baseline_aos                      256    2     1.2519 PASS
gpu_baseline_aos_u                    256    2     1.2511 PASS
gpu_eigts_t_aos                       256    2     1.2425 PASS
gpu_eigts_t_aos_u                     256    2     1.2427 PASS
gpu_shared_bec_aos                    256    2     1.2718 PASS
gpu_shared_bec_aos_u                  256    2     1.2716 PASS
gpu_optimized_aos                     256    2     4.4437 PASS
gpu_optimized_aos_u                   256    2     4.4414 PASS
gpu_baseline_soa                      256    2     1.3178 PASS
gpu_baseline_soa_u                    256    2     1.3168 PASS
gpu_eigts_t_soa                       256    2     1.2924 PASS
gpu_eigts_t_soa_u                     256    2     1.2918 PASS
gpu_shared_bec_soa                    256    2     1.2692 PASS
gpu_shared_bec_soa_u                  256    2     1.2681 PASS
gpu_optimized_soa                     256    2     9.6661 PASS
gpu_optimized_soa_u                   256    2     9.6645 PASS
gpu_baseline_aos                      256    4     2.5507 PASS
gpu_baseline_aos_u                    256    4     2.5420 PASS
gpu_eigts_t_aos                       256    4     2.5604 PASS
gpu_eigts_t_aos_u                     256    4     2.5351 PASS
gpu_shared_bec_aos                    256    4     2.5825 PASS
gpu_shared_bec_aos_u                  256    4     2.5834 PASS
gpu_optimized_aos                     256    4     8.8869 PASS
gpu_optimized_aos_u                   256    4     8.9053 PASS
gpu_baseline_soa                      256    4     2.6040 PASS
gpu_baseline_soa_u                    256    4     2.5756 PASS
gpu_eigts_t_soa                       256    4     2.5577 PASS
gpu_eigts_t_soa_u                     256    4     2.5615 PASS
gpu_shared_bec_soa                    256    4     2.5045 PASS
gpu_shared_bec_soa_u                  256    4     2.5054 PASS
gpu_optimized_soa                     256    4    20.0608 PASS
gpu_optimized_soa_u                   256    4    20.0730 PASS
gpu_baseline_aos                      256    8     5.4692 PASS
gpu_baseline_aos_u                    256    8     5.4610 PASS
gpu_eigts_t_aos                       256    8     5.4974 PASS
gpu_eigts_t_aos_u                     256    8     5.4455 PASS
gpu_shared_bec_aos                    256    8     5.5724 PASS
gpu_shared_bec_aos_u                  256    8     5.5704 PASS
gpu_optimized_aos                     256    8    15.4665 PASS
gpu_optimized_aos_u                   256    8    15.4776 PASS
gpu_baseline_soa                      256    8     5.5425 PASS
gpu_baseline_soa_u                    256    8     5.4969 PASS
gpu_eigts_t_soa                       256    8     5.4634 PASS
gpu_eigts_t_soa_u                     256    8     5.4735 PASS
gpu_shared_bec_soa                    256    8     5.4903 PASS
gpu_shared_bec_soa_u                  256    8     5.4300 PASS
gpu_optimized_soa                     256    8    35.2382 PASS
gpu_optimized_soa_u                   256    8    35.2564 PASS
gpu_baseline_aos                      256   16    10.7615 PASS
gpu_baseline_aos_u                    256   16    10.7413 PASS
gpu_eigts_t_aos                       256   16    10.6746 PASS
gpu_eigts_t_aos_u                     256   16    10.5870 PASS
gpu_shared_bec_aos                    256   16    11.1405 PASS
gpu_shared_bec_aos_u                  256   16    11.1454 PASS
gpu_optimized_aos                     256   16    31.4545 PASS
gpu_optimized_aos_u                   256   16    31.2351 PASS
gpu_baseline_soa                      256   16    13.1297 PASS
gpu_baseline_soa_u                    256   16    13.2899 PASS
gpu_eigts_t_soa                       256   16    13.2645 PASS
gpu_eigts_t_soa_u                     256   16    13.2301 PASS
gpu_shared_bec_soa                    256   16    13.3410 PASS
gpu_shared_bec_soa_u                  256   16    13.3022 PASS
gpu_optimized_soa                     256   16    70.7351 PASS
gpu_optimized_soa_u                   256   16    70.8502 PASS
gpu_baseline_aos                      512    1     0.7020 PASS
gpu_baseline_aos_u                    512    1     0.7020 PASS
gpu_eigts_t_aos                       512    1     0.6914 PASS
gpu_eigts_t_aos_u                     512    1     0.6912 PASS
gpu_shared_bec_aos                    512    1     0.6931 PASS
gpu_shared_bec_aos_u                  512    1     0.6930 PASS
gpu_optimized_aos                     512    1     4.9505 PASS
gpu_optimized_aos_u                   512    1     4.9503 PASS
gpu_baseline_soa                      512    1     0.7351 PASS
gpu_baseline_soa_u                    512    1     0.7339 PASS
gpu_eigts_t_soa                       512    1     0.7230 PASS
gpu_eigts_t_soa_u                     512    1     0.7235 PASS
gpu_shared_bec_soa                    512    1     0.6920 PASS
gpu_shared_bec_soa_u                  512    1     0.6917 PASS
gpu_optimized_soa                     512    1    11.1265 PASS
gpu_optimized_soa_u                   512    1    11.1224 PASS
gpu_baseline_aos                      512    2     1.3109 PASS
gpu_baseline_aos_u                    512    2     1.3100 PASS
gpu_eigts_t_aos                       512    2     1.3010 PASS
gpu_eigts_t_aos_u                     512    2     1.3021 PASS
gpu_shared_bec_aos                    512    2     1.3210 PASS
gpu_shared_bec_aos_u                  512    2     1.3210 PASS
gpu_optimized_aos                     512    2     8.0124 PASS
gpu_optimized_aos_u                   512    2     7.9899 PASS
gpu_baseline_soa                      512    2     1.3764 PASS
gpu_baseline_soa_u                    512    2     1.3760 PASS
gpu_eigts_t_soa                       512    2     1.3460 PASS
gpu_eigts_t_soa_u                     512    2     1.3462 PASS
gpu_shared_bec_soa                    512    2     1.3286 PASS
gpu_shared_bec_soa_u                  512    2     1.3280 PASS
gpu_optimized_soa                     512    2    18.2830 PASS
gpu_optimized_soa_u                   512    2    18.2512 PASS
gpu_baseline_aos                      512    4     2.6563 PASS
gpu_baseline_aos_u                    512    4     2.6514 PASS
gpu_eigts_t_aos                       512    4     2.6649 PASS
gpu_eigts_t_aos_u                     512    4     2.6421 PASS
gpu_shared_bec_aos                    512    4     2.6940 PASS
gpu_shared_bec_aos_u                  512    4     2.6937 PASS
gpu_optimized_aos                     512    4    16.8046 PASS
gpu_optimized_aos_u                   512    4    16.8513 PASS
gpu_baseline_soa                      512    4     2.7530 PASS
gpu_baseline_soa_u                    512    4     2.7311 PASS
gpu_eigts_t_soa                       512    4     2.6932 PASS
gpu_eigts_t_soa_u                     512    4     2.6983 PASS
gpu_shared_bec_soa                    512    4     2.6525 PASS
gpu_shared_bec_soa_u                  512    4     2.6519 PASS
gpu_optimized_soa                     512    4    37.6679 PASS
gpu_optimized_soa_u                   512    4    37.6853 PASS
gpu_baseline_aos                      512    8     6.7178 PASS
gpu_baseline_aos_u                    512    8     6.7208 PASS
gpu_eigts_t_aos                       512    8     6.6820 PASS
gpu_eigts_t_aos_u                     512    8     6.6803 PASS
gpu_shared_bec_aos                    512    8     6.7099 PASS
gpu_shared_bec_aos_u                  512    8     6.7050 PASS
gpu_optimized_aos                     512    8    30.8055 PASS
gpu_optimized_aos_u                   512    8    30.7756 PASS
gpu_baseline_soa                      512    8     7.1764 PASS
gpu_baseline_soa_u                    512    8     7.1775 PASS
gpu_eigts_t_soa                       512    8     7.0980 PASS
gpu_eigts_t_soa_u                     512    8     7.0894 PASS
gpu_shared_bec_soa                    512    8     7.1155 PASS
gpu_shared_bec_soa_u                  512    8     7.1058 PASS
gpu_optimized_soa                     512    8    68.8521 PASS
gpu_optimized_soa_u                   512    8    68.9053 PASS
gpu_baseline_aos                      512   16    17.0511 PASS
gpu_baseline_aos_u                    512   16    17.0715 PASS
gpu_eigts_t_aos                       512   16    16.7931 PASS
gpu_eigts_t_aos_u                     512   16    16.7768 PASS
gpu_shared_bec_aos                    512   16    18.0649 PASS
gpu_shared_bec_aos_u                  512   16    17.9792 PASS
gpu_optimized_aos                     512   16    60.1818 PASS
gpu_optimized_aos_u                   512   16    60.1442 PASS
gpu_baseline_soa                      512   16    25.4724 PASS
gpu_baseline_soa_u                    512   16    25.4790 PASS
gpu_eigts_t_soa                       512   16    25.2537 PASS
gpu_eigts_t_soa_u                     512   16    25.2166 PASS
gpu_shared_bec_soa                    512   16    25.2412 PASS
gpu_shared_bec_soa_u                  512   16    24.8132 PASS
gpu_optimized_soa                     512   16   136.5070 PASS
gpu_optimized_soa_u                   512   16   136.5519 PASS
gpu_baseline_aos                     1024    1     0.7565 PASS
gpu_baseline_aos_u                   1024    1     0.7555 PASS
gpu_eigts_t_aos                      1024    1     0.7432 PASS
gpu_eigts_t_aos_u                    1024    1     0.7429 PASS
gpu_shared_bec_aos                   1024    1     0.7371 PASS
gpu_shared_bec_aos_u                 1024    1     0.7371 PASS
gpu_optimized_aos                    1024    1     9.2729 PASS
gpu_optimized_aos_u                  1024    1     9.2713 PASS
gpu_baseline_soa                     1024    1     0.8066 PASS
gpu_baseline_soa_u                   1024    1     0.8061 PASS
gpu_eigts_t_soa                      1024    1     0.7829 PASS
gpu_eigts_t_soa_u                    1024    1     0.7817 PASS
gpu_shared_bec_soa                   1024    1     0.7548 PASS
gpu_shared_bec_soa_u                 1024    1     0.7546 PASS
gpu_optimized_soa                    1024    1    20.2022 PASS
gpu_optimized_soa_u                  1024    1    20.1597 PASS
gpu_baseline_aos                     1024    2     1.4167 PASS
gpu_baseline_aos_u                   1024    2     1.4182 PASS
gpu_eigts_t_aos                      1024    2     1.4017 PASS
gpu_eigts_t_aos_u                    1024    2     1.4017 PASS
gpu_shared_bec_aos                   1024    2     1.4130 PASS
gpu_shared_bec_aos_u                 1024    2     1.4134 PASS
gpu_optimized_aos                    1024    2    15.5848 PASS
gpu_optimized_aos_u                  1024    2    15.5797 PASS
gpu_baseline_soa                     1024    2     1.5339 PASS
gpu_baseline_soa_u                   1024    2     1.5340 PASS
gpu_eigts_t_soa                      1024    2     1.4710 PASS
gpu_eigts_t_soa_u                    1024    2     1.4718 PASS
gpu_shared_bec_soa                   1024    2     1.4506 PASS
gpu_shared_bec_soa_u                 1024    2     1.4498 PASS
gpu_optimized_soa                    1024    2    34.1964 PASS
gpu_optimized_soa_u                  1024    2    34.1418 PASS
gpu_baseline_aos                     1024    4     3.6876 PASS
gpu_baseline_aos_u                   1024    4     3.6895 PASS
gpu_eigts_t_aos                      1024    4     3.6425 PASS
gpu_eigts_t_aos_u                    1024    4     3.6465 PASS
gpu_shared_bec_aos                   1024    4     3.6408 PASS
gpu_shared_bec_aos_u                 1024    4     3.6404 PASS
gpu_optimized_aos                    1024    4    33.2291 PASS
gpu_optimized_aos_u                  1024    4    33.1852 PASS
gpu_baseline_soa                     1024    4     3.9769 PASS
gpu_baseline_soa_u                   1024    4     3.9811 PASS
gpu_eigts_t_soa                      1024    4     3.8730 PASS
gpu_eigts_t_soa_u                    1024    4     3.8723 PASS
gpu_shared_bec_soa                   1024    4     3.8647 PASS
gpu_shared_bec_soa_u                 1024    4     3.8653 PASS
gpu_optimized_soa                    1024    4    72.2406 PASS
gpu_optimized_soa_u                  1024    4    72.0781 PASS
gpu_baseline_aos                     1024    8    13.0130 PASS
gpu_baseline_aos_u                   1024    8    13.0134 PASS
gpu_eigts_t_aos                      1024    8    12.8939 PASS
gpu_eigts_t_aos_u                    1024    8    12.8964 PASS
gpu_shared_bec_aos                   1024    8    12.8566 PASS
gpu_shared_bec_aos_u                 1024    8    12.8469 PASS
gpu_optimized_aos                    1024    8    59.8177 PASS
gpu_optimized_aos_u                  1024    8    59.7967 PASS
gpu_baseline_soa                     1024    8    14.0981 PASS
gpu_baseline_soa_u                   1024    8    14.1524 PASS
gpu_eigts_t_soa                      1024    8    13.8690 PASS
gpu_eigts_t_soa_u                    1024    8    13.8484 PASS
gpu_shared_bec_soa                   1024    8    13.8014 PASS
gpu_shared_bec_soa_u                 1024    8    13.9330 PASS
gpu_optimized_soa                    1024    8   129.0963 PASS
gpu_optimized_soa_u                  1024    8   128.6809 PASS
gpu_baseline_aos                     1024   16    35.7066 PASS
gpu_baseline_aos_u                   1024   16    35.6675 PASS
gpu_eigts_t_aos                      1024   16    35.3733 PASS
gpu_eigts_t_aos_u                    1024   16    35.3726 PASS
gpu_shared_bec_aos                   1024   16    41.0438 PASS
gpu_shared_bec_aos_u                 1024   16    41.0834 PASS
gpu_optimized_aos                    1024   16   116.9063 PASS
gpu_optimized_aos_u                  1024   16   116.5179 PASS
gpu_baseline_soa                     1024   16    51.4016 PASS
gpu_baseline_soa_u                   1024   16    51.3725 PASS
gpu_eigts_t_soa                      1024   16    51.0459 PASS
gpu_eigts_t_soa_u                    1024   16    51.0408 PASS
gpu_shared_bec_soa                   1024   16    50.9741 PASS
gpu_shared_bec_soa_u                 1024   16    51.0742 PASS
gpu_optimized_soa                    1024   16   255.6704 PASS
gpu_optimized_soa_u                  1024   16   255.6631 PASS

Done. CSV: addusxx_gpu_sweep.csv
