variant,blocksize,ngms,rhoc_size,nthreads,rep,time_ms
baseline_soa,1,55191,120000,96,6,8.488560
baseline_soa,1,55191,120000,96,7,8.460261
baseline_soa,1,55191,120000,96,8,8.168077
baseline_soa,1,55191,120000,96,9,8.349060
baseline_soa,1,55191,120000,96,10,8.349599
baseline_soa,1,55191,120000,96,11,8.001567
baseline_soa,1,55191,120000,96,12,8.342030
baseline_soa,1,55191,120000,96,13,8.572000
baseline_soa,1,55191,120000,96,14,8.294560
baseline_soa,1,55191,120000,96,15,8.549391
baseline_soa,1,55191,120000,96,16,8.565060
baseline_soa,1,55191,120000,96,17,8.241558
baseline_soa,1,55191,120000,96,18,9.163455
baseline_soa,1,55191,120000,96,19,8.499669
baseline_soa,1,55191,120000,96,20,8.206359
baseline_soa,1,55191,120000,96,21,7.475253
baseline_soa,1,55191,120000,96,22,8.392850
baseline_soa,1,55191,120000,96,23,7.593854
baseline_soa,1,55191,120000,96,24,7.399424
baseline_soa,1,55191,120000,96,25,8.344729
baseline_soa,1,55191,120000,96,26,8.137969
baseline_soa,1,55191,120000,96,27,8.123157
baseline_soa,1,55191,120000,96,28,8.397300
baseline_soa,1,55191,120000,96,29,7.952777
baseline_soa,1,55191,120000,96,30,8.029058
baseline_soa,1,55191,120000,96,31,7.968256
baseline_soa,1,55191,120000,96,32,7.550596
baseline_soa,1,55191,120000,96,33,8.280148
baseline_soa,1,55191,120000,96,34,8.363070
baseline_soa,1,55191,120000,96,35,8.063207
baseline_soa,1,55191,120000,96,36,7.923337
baseline_soa,1,55191,120000,96,37,8.246969
baseline_soa,1,55191,120000,96,38,8.249210
baseline_soa,1,55191,120000,96,39,8.100697
baseline_soa,1,55191,120000,96,40,7.794217
baseline_soa,1,55191,120000,96,41,8.193467
baseline_soa,1,55191,120000,96,42,7.809127
baseline_soa,1,55191,120000,96,43,7.842506
baseline_soa,1,55191,120000,96,44,8.235829
baseline_soa,1,55191,120000,96,45,8.211498
baseline_soa,1,55191,120000,96,46,8.158929
baseline_soa,1,55191,120000,96,47,8.195517
baseline_soa,1,55191,120000,96,48,8.233689
baseline_soa,1,55191,120000,96,49,7.396933
baseline_soa,1,55191,120000,96,50,8.304320
baseline_soa,1,55191,120000,96,51,8.113928
baseline_soa,1,55191,120000,96,52,7.642655
baseline_soa,1,55191,120000,96,53,8.319749
baseline_soa,1,55191,120000,96,54,8.256510
baseline_soa,1,55191,120000,96,55,8.923892
baseline_soa,1,55191,120000,96,56,8.189999
baseline_soa,1,55191,120000,96,57,8.062027
baseline_soa,1,55191,120000,96,58,8.395940
baseline_soa,1,55191,120000,96,59,7.805166
baseline_soa,1,55191,120000,96,60,7.587466
baseline_soa,1,55191,120000,96,61,8.360248
baseline_soa,1,55191,120000,96,62,8.081049
baseline_soa,1,55191,120000,96,63,8.294288
baseline_soa,1,55191,120000,96,64,8.861024
baseline_soa,1,55191,120000,96,65,8.414589
baseline_soa,1,55191,120000,96,66,8.386041
baseline_soa,1,55191,120000,96,67,7.608104
baseline_soa,1,55191,120000,96,68,8.001468
baseline_soa,1,55191,120000,96,69,8.369629
baseline_soa,1,55191,120000,96,70,8.331360
baseline_soa,1,55191,120000,96,71,8.300429
baseline_soa,1,55191,120000,96,72,8.257310
baseline_soa,1,55191,120000,96,73,8.292048
baseline_soa,1,55191,120000,96,74,8.250659
baseline_soa,1,55191,120000,96,75,8.395449
baseline_soa,1,55191,120000,96,76,8.162219
baseline_soa,1,55191,120000,96,77,8.248248
baseline_soa,1,55191,120000,96,78,8.303960
baseline_soa,1,55191,120000,96,79,7.565024
baseline_soa,1,55191,120000,96,80,7.958988
baseline_soa,1,55191,120000,96,81,8.262958
baseline_soa,1,55191,120000,96,82,8.064879
baseline_soa,1,55191,120000,96,83,8.031167
baseline_soa,1,55191,120000,96,84,8.219479
baseline_soa,1,55191,120000,96,85,8.139278
baseline_soa,1,55191,120000,96,86,8.250050
baseline_soa,1,55191,120000,96,87,8.205987
baseline_soa,1,55191,120000,96,88,8.277670
baseline_soa,1,55191,120000,96,89,7.911926
baseline_soa,1,55191,120000,96,90,8.022579
baseline_soa,1,55191,120000,96,91,8.244808
baseline_soa,1,55191,120000,96,92,8.032308
baseline_soa,1,55191,120000,96,93,7.752635
baseline_soa,1,55191,120000,96,94,8.354090
baseline_soa,1,55191,120000,96,95,8.323408
baseline_soa,1,55191,120000,96,96,7.932718
baseline_soa,1,55191,120000,96,97,8.253308
baseline_soa,1,55191,120000,96,98,8.304710
baseline_soa,1,55191,120000,96,99,8.338348
eigts_t_soa,1,55191,120000,96,0,6.606850
eigts_t_soa,1,55191,120000,96,1,6.715888
eigts_t_soa,1,55191,120000,96,2,6.750610
eigts_t_soa,1,55191,120000,96,3,6.864870
eigts_t_soa,1,55191,120000,96,4,6.911781
eigts_t_soa,1,55191,120000,96,5,6.950922
eigts_t_soa,1,55191,120000,96,6,6.729219
eigts_t_soa,1,55191,120000,96,7,6.356218
eigts_t_soa,1,55191,120000,96,8,7.956236
eigts_t_soa,1,55191,120000,96,9,7.168104
eigts_t_soa,1,55191,120000,96,10,7.205802
eigts_t_soa,1,55191,120000,96,11,7.007882
eigts_t_soa,1,55191,120000,96,12,7.269344
eigts_t_soa,1,55191,120000,96,13,7.311793
eigts_t_soa,1,55191,120000,96,14,6.987412
eigts_t_soa,1,55191,120000,96,15,6.958291
eigts_t_soa,1,55191,120000,96,16,7.341774
eigts_t_soa,1,55191,120000,96,17,7.412163
eigts_t_soa,1,55191,120000,96,18,7.362484
eigts_t_soa,1,55191,120000,96,19,7.214372
eigts_t_soa,1,55191,120000,96,20,7.404585
eigts_t_soa,1,55191,120000,96,21,6.781950
eigts_t_soa,1,55191,120000,96,22,7.483644
eigts_t_soa,1,55191,120000,96,23,6.630089
eigts_t_soa,1,55191,120000,96,24,7.045881
eigts_t_soa,1,55191,120000,96,25,7.431915
eigts_t_soa,1,55191,120000,96,26,7.113441
eigts_t_soa,1,55191,120000,96,27,7.157783
eigts_t_soa,1,55191,120000,96,28,6.667119
eigts_t_soa,1,55191,120000,96,29,7.182043
eigts_t_soa,1,55191,120000,96,30,6.686360
eigts_t_soa,1,55191,120000,96,31,7.435644
eigts_t_soa,1,55191,120000,96,32,7.226604
eigts_t_soa,1,55191,120000,96,33,7.239152
eigts_t_soa,1,55191,120000,96,34,7.481495
eigts_t_soa,1,55191,120000,96,35,6.643359
eigts_t_soa,1,55191,120000,96,36,7.065803
eigts_t_soa,1,55191,120000,96,37,7.460173
eigts_t_soa,1,55191,120000,96,38,7.040032
eigts_t_soa,1,55191,120000,96,39,7.159132
eigts_t_soa,1,55191,120000,96,40,7.555775
eigts_t_soa,1,55191,120000,96,41,7.061552
eigts_t_soa,1,55191,120000,96,42,7.266352
eigts_t_soa,1,55191,120000,96,43,7.458155
eigts_t_soa,1,55191,120000,96,44,7.090632
eigts_t_soa,1,55191,120000,96,45,7.117693
eigts_t_soa,1,55191,120000,96,46,7.353943
eigts_t_soa,1,55191,120000,96,47,6.627920
eigts_t_soa,1,55191,120000,96,48,7.029311
eigts_t_soa,1,55191,120000,96,49,7.109532
eigts_t_soa,1,55191,120000,96,50,7.156432
eigts_t_soa,1,55191,120000,96,51,7.366573
eigts_t_soa,1,55191,120000,96,52,6.965821
eigts_t_soa,1,55191,120000,96,53,6.968691
eigts_t_soa,1,55191,120000,96,54,6.917952
eigts_t_soa,1,55191,120000,96,55,6.658759
eigts_t_soa,1,55191,120000,96,56,7.258344
eigts_t_soa,1,55191,120000,96,57,7.043362
eigts_t_soa,1,55191,120000,96,58,7.112152
eigts_t_soa,1,55191,120000,96,59,7.021521
eigts_t_soa,1,55191,120000,96,60,6.938271
eigts_t_soa,1,55191,120000,96,61,7.252223
eigts_t_soa,1,55191,120000,96,62,7.045781
eigts_t_soa,1,55191,120000,96,63,7.077113
eigts_t_soa,1,55191,120000,96,64,6.935380
