target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,beta,alpha,gamma,P_NUMA
CPU_NEON,64,2,V3,omp_collapse2,klon_first,normal1,3932160,13.224686,35750.355103,459353.308528,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,normal1,983040,52.232642,9418.978048,491140.519575,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,normal1,7864320,6.611182,31917.080354,204431.747468,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,normal1,491520,99.462134,2521.308643,250697.341758,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_collapse2,klon_first,normal1,245760,198.907861,1349.847738,268222.496197,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,normal4,7864320,7.096277,60387.569433,408607.912661,1024,0.5200,2.7000,4
CPU_NEON,64,2,V3,omp_collapse2,klon_first,normal4,3932160,13.502203,34905.497724,457690.413260,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,normal4,983040,52.070532,9431.015725,490067.167421,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,normal4,7864320,6.783777,31027.538820,204301.198999,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,normal4,491520,99.133032,2516.648346,249423.285948,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_collapse2,klon_first,normal4,245760,198.246143,1347.067439,267117.256629,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,sequential,7864320,6.624976,64639.236005,410160.952979,1024,0.5200,2.7000,4
CPU_NEON,64,2,V3,omp_collapse2,klon_first,sequential,3932160,13.249951,35458.265021,458243.702905,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,sequential,983040,52.998340,9292.038204,491815.336409,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,sequential,7864320,6.312476,33243.729168,205077.525129,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,sequential,491520,100.990820,2479.450560,250409.938861,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_collapse2,klon_first,sequential,245760,201.962549,1332.519863,268951.376165,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_for,klev_first,uniform,7864320,0.881507,2816.281237,20804.392539,1024,0.5200,2.7000,4
CPU_NEON,64,2,V4,omp_for,klev_first,uniform,3932160,1.763015,5632.562474,41608.785078,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,uniform,983040,7.052059,22530.249894,166435.140310,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_for,klev_first,uniform,7864320,0.440754,1447.389890,10402.121010,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_for,klev_first,uniform,491520,7.052059,23158.238246,166433.936159,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_for,klev_first,uniform,245760,14.104118,46771.414129,665728.712177,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_for,klev_first,normal1,7864320,0.867846,1430.520152,10380.355750,1024,0.5200,2.7000,4
CPU_NEON,64,2,V4,omp_for,klev_first,normal1,3932160,1.735692,2861.040304,20760.711499,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,normal1,983040,6.942769,11444.161215,83042.845997,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_for,klev_first,normal1,7864320,0.433923,735.069603,5190.138973,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_for,klev_first,normal1,491520,6.942769,11761.113650,83042.223572,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_for,klev_first,normal1,245760,13.885539,23753.660183,332163.086528,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_for,klev_first,normal4,7864320,0.867694,1430.145899,10369.758169,1024,0.5200,2.7000,4
CPU_NEON,64,2,V4,omp_for,klev_first,normal4,3932160,1.735387,2860.291798,20739.516338,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,normal4,983040,6.941549,11441.167192,82958.065352,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_for,klev_first,normal4,7864320,0.433847,734.738743,5184.839976,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_for,klev_first,normal4,491520,6.941549,11755.819880,82957.439610,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_for,klev_first,normal4,245760,13.883097,23741.377946,331823.891691,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_for,klev_first,sequential,7864320,0.756510,1639.124489,10424.780801,1024,0.5200,2.7000,4
CPU_NEON,64,2,V4,omp_for,klev_first,sequential,3932160,1.513021,3278.248978,20849.561603,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_for,klev_first,sequential,983040,6.052083,13112.995912,83398.246411,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_for,klev_first,sequential,7864320,0.378255,844.093422,5212.353799,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_for,klev_first,sequential,491520,6.052083,13505.494754,83397.660777,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_for,klev_first,sequential,245760,12.104167,27288.787904,333585.807045,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,uniform,7864320,7.624927,110942.288734,819511.657699,1024,0.5200,2.7000,4
CPU_NEON,64,2,V4,omp_collapse2,klon_first,uniform,3932160,15.249585,61363.249252,919774.804266,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,uniform,983040,60.992969,16071.669664,980261.773201,1024,0.5200,2.7000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,uniform,7864320,7.312427,57014.571313,409749.852150,1024,0.5200,2.7000,4
GPU_halfw,128,16,V4,omp_collapse2,klon_first,uniform,491520,116.969727,4241.707569,496153.577174,1024,0.5200,2.7000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,uniform,245760,233.891797,2170.928506,507770.345114,1024,0.5200,2.7000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,normal1,7864320,6.923683,61930.561864,408869.504038,1024,0.5200,2.7000,4
