nlev,variant,cell_dist,loop_order,target,block_bytes,vector_width,mu,delta,sigma
90,2,sequential,klon_first,gpu_warp32,128,32,80.859375,32.635597,1967.721566
90,2,sequential,klon_first,gpu_wave64,128,64,159.482031,17.986429,2010.279188
90,2,sequential,klev_first,cpu_scalar,64,1,6.006859,11239.017382,40504.643554
90,2,sequential,klev_first,cpu_avx512,64,8,45.051442,53772.149204,300371.514156
90,2,sequential,klev_first,gpu_scalar,128,1,6.003314,5644.843905,40504.643554
90,2,sequential,klev_first,gpu_warp32,128,32,180.099406,84086.143294,873808.056625
90,2,sequential,klev_first,gpu_wave64,128,64,270.149109,66767.812772,1310712.084937
90,3,sequential,klon_first,cpu_scalar,64,1,6.624976,46256.398167,175836.135441
90,3,sequential,klon_first,cpu_avx512,64,8,52.998242,8254.133834,174784.350884
90,3,sequential,klon_first,gpu_scalar,128,1,6.312476,23795.589562,175836.135441
90,3,sequential,klon_first,gpu_warp32,128,32,201.960156,1214.448850,176071.477047
90,3,sequential,klon_first,gpu_wave64,128,64,403.855469,739.774939,178832.474819
90,3,sequential,klev_first,cpu_scalar,64,1,0.773609,1211.840250,1953.668718
90,3,sequential,klev_first,cpu_avx512,64,8,5.802071,5390.257593,14652.509439
90,3,sequential,klev_first,gpu_scalar,128,1,0.397916,710.392147,1953.668718
90,3,sequential,klev_first,gpu_warp32,128,32,11.937476,10046.814601,58609.467266
90,3,sequential,klev_first,gpu_wave64,128,64,17.906189,13745.957755,87914.200899
90,4,sequential,klon_first,cpu_scalar,64,1,6.624976,46140.030202,175836.277503
90,4,sequential,klon_first,cpu_avx512,64,8,52.998242,8243.045755,174785.487281
90,4,sequential,klon_first,gpu_scalar,128,1,6.312476,23767.685776,175836.277503
90,4,sequential,klon_first,gpu_warp32,128,32,201.960156,1214.458753,176076.021303
90,4,sequential,klon_first,gpu_wave64,128,64,403.855469,739.794748,178841.559779
90,4,sequential,klev_first,cpu_scalar,64,1,0.773609,1210.105585,1953.669511
90,4,sequential,klev_first,cpu_avx512,64,8,5.802071,5378.949490,14652.515391
90,4,sequential,klev_first,gpu_scalar,128,1,0.397916,709.973562,1953.669511
90,4,sequential,klev_first,gpu_warp32,128,32,11.937476,10041.589165,58609.491075
90,4,sequential,klev_first,gpu_wave64,128,64,17.906189,13742.993126,87914.236613
96,1,uniform,klon_first,cpu_scalar,64,1,4.999121,1963.268416,3909.701590
96,1,uniform,klon_first,cpu_avx512,64,8,39.932227,255.797771,3907.526086
96,1,uniform,klon_first,gpu_scalar,128,1,4.498120,1025.943105,3909.701590
96,1,uniform,klon_first,gpu_warp32,128,32,141.718750,37.002979,3921.481895
96,1,uniform,klon_first,gpu_wave64,128,64,278.810938,20.193807,3982.360786
96,1,uniform,klev_first,cpu_scalar,64,1,7.006364,10624.672986,40533.087007
96,1,uniform,klev_first,cpu_avx512,64,8,56.050911,54313.965705,300371.508558
96,1,uniform,klev_first,gpu_scalar,128,1,7.002950,5331.558147,40533.087007
96,1,uniform,klev_first,gpu_warp32,128,32,224.094401,88006.248307,873808.034232
96,1,uniform,klev_first,gpu_wave64,128,64,336.141602,69481.462087,1310712.051349
96,2,uniform,klon_first,cpu_scalar,64,1,4.999121,1960.691685,3909.843701
96,2,uniform,klon_first,cpu_avx512,64,8,39.932227,255.213901,3908.662880
96,2,uniform,klon_first,gpu_scalar,128,1,4.498120,1025.299027,3909.843701
96,2,uniform,klon_first,gpu_warp32,128,32,141.718750,37.017093,3926.027737
96,2,uniform,klon_first,gpu_wave64,128,64,278.810938,20.222503,3991.448919
96,2,uniform,klev_first,cpu_scalar,64,1,7.006364,10621.470146,40533.087751
96,2,uniform,klev_first,cpu_avx512,64,8,56.050911,54312.284321,300371.514510
96,2,uniform,klev_first,gpu_scalar,128,1,7.002950,5330.756653,40533.087751
96,2,uniform,klev_first,gpu_warp32,128,32,224.094401,88006.076197,873808.058042
96,2,uniform,klev_first,gpu_wave64,128,64,336.141602,69481.401149,1310712.087063
96,3,uniform,klon_first,cpu_scalar,64,1,7.624902,93753.520240,375296.988298
96,3,uniform,klon_first,cpu_avx512,64,8,60.992773,15622.139866,374825.357016
96,3,uniform,klon_first,gpu_scalar,128,1,7.312402,48117.411280,375296.988298
96,3,uniform,klon_first,gpu_warp32,128,32,233.892969,2152.069548,375420.812403
96,3,uniform,klon_first,gpu_wave64,128,64,467.568018,1180.074026,380239.243825
96,3,uniform,klev_first,cpu_scalar,64,1,0.881507,976.647177,3909.317019
96,3,uniform,klev_first,cpu_avx512,64,8,7.052059,7813.177413,31274.452940
96,3,uniform,klev_first,gpu_scalar,128,1,0.440754,501.243234,3909.317019
96,3,uniform,klev_first,gpu_warp32,128,32,14.104118,16188.181168,125096.670581
96,3,uniform,klev_first,gpu_wave64,128,64,21.156177,24445.791011,187645.005872
96,4,uniform,klon_first,cpu_scalar,64,1,7.624902,93544.151239,375297.130409
96,4,uniform,klon_first,cpu_avx512,64,8,60.992773,15606.452423,374826.493810
96,4,uniform,klon_first,gpu_scalar,128,1,7.312402,48064.648933,375297.130409
96,4,uniform,klon_first,gpu_warp32,128,32,233.892969,2152.078099,375425.358245
96,4,uniform,klon_first,gpu_wave64,128,64,467.568018,1180.091135,380248.331958
96,4,uniform,klev_first,cpu_scalar,64,1,0.881507,974.463257,3909.317763
96,4,uniform,klev_first,cpu_avx512,64,8,7.052059,7795.706057,31274.458893
96,4,uniform,klev_first,gpu_scalar,128,1,0.440754,500.692110,3909.317763
96,4,uniform,klev_first,gpu_warp32,128,32,14.104118,16179.301268,125096.694391
96,4,uniform,klev_first,gpu_wave64,128,64,21.156177,24440.580773,187645.041586
96,1,normal_var1,klon_first,cpu_scalar,64,1,3.167590,1829.846047,1954.076941
96,1,normal_var1,klon_first,cpu_avx512,64,8,24.967578,205.239214,1944.011911
96,1,normal_var1,klon_first,gpu_scalar,128,1,2.583398,991.384524,1954.076941
96,1,normal_var1,klon_first,gpu_warp32,128,32,80.859375,32.614181,1963.182890
96,1,normal_var1,klon_first,gpu_wave64,128,64,159.482031,17.938179,2001.205613
96,1,normal_var1,klev_first,cpu_scalar,64,1,6.270243,11217.400756,40533.086591
96,1,normal_var1,klev_first,cpu_avx512,64,8,50.161947,55850.823961,300371.505228
96,1,normal_var1,klev_first,gpu_scalar,128,1,6.135116,5640.025554,40533.086591
96,1,normal_var1,klev_first,gpu_warp32,128,32,196.323698,88752.631550,873808.020911
96,1,normal_var1,klev_first,gpu_wave64,128,64,294.485547,70486.794486,1310712.031366
96,2,normal_var1,klon_first,cpu_scalar,64,1,3.167590,1827.780015,1954.219052
96,2,normal_var1,klon_first,cpu_avx512,64,8,24.967578,204.000707,1945.148704
96,2,normal_var1,klon_first,gpu_scalar,128,1,2.583398,990.897389,1954.219052
96,2,normal_var1,klon_first,gpu_warp32,128,32,80.859375,32.638920,1967.728733
96,2,normal_var1,klon_first,gpu_wave64,128,64,159.482031,17.988350,2010.293746
96,2,normal_var1,klev_first,cpu_scalar,64,1,6.270243,11213.879533,40533.087335
96,2,normal_var1,klev_first,cpu_avx512,64,8,50.161947,55848.868866,300371.511180
96,2,normal_var1,klev_first,gpu_scalar,128,1,6.135116,5639.151257,40533.087335
96,2,normal_var1,klev_first,gpu_warp32,128,32,196.323698,88752.460352,873808.044720
96,2,normal_var1,klev_first,gpu_wave64,128,64,294.485547,70486.739565,1310712.067080
96,3,normal_var1,klon_first,cpu_scalar,64,1,6.922070,47545.176460,187561.220148
96,3,normal_var1,klon_first,cpu_avx512,64,8,52.232739,8933.727412,186436.556288
96,3,normal_var1,klon_first,gpu_scalar,128,1,6.609570,24447.632491,187561.220148
96,3,normal_var1,klon_first,gpu_warp32,128,32,198.898096,1313.327644,187809.271485
96,3,normal_var1,klon_first,gpu_wave64,128,64,397.731348,797.964974,190754.024378
96,3,normal_var1,klev_first,cpu_scalar,64,1,0.868020,450.246959,1953.712749
96,3,normal_var1,klev_first,cpu_avx512,64,8,6.944161,3601.975669,15629.630081
96,3,normal_var1,klev_first,gpu_scalar,128,1,0.434010,231.116865,1953.712749
96,3,normal_var1,klev_first,gpu_warp32,128,32,13.888322,7463.915913,62517.534109
96,3,normal_var1,klev_first,gpu_wave64,128,64,20.832483,11271.534892,93776.301164
96,4,normal_var1,klon_first,cpu_scalar,64,1,6.922070,47426.873454,187561.362260
96,4,normal_var1,klon_first,cpu_avx512,64,8,52.232739,8921.499353,186437.693081
96,4,normal_var1,klon_first,gpu_scalar,128,1,6.609570,24419.490011,187561.362260
96,4,normal_var1,klon_first,gpu_warp32,128,32,198.898096,1313.337700,187813.817328
96,4,normal_var1,klon_first,gpu_wave64,128,64,397.731348,797.985089,190763.112511
96,4,normal_var1,klev_first,cpu_scalar,64,1,0.868020,449.220090,1953.713493
96,4,normal_var1,klev_first,cpu_avx512,64,8,6.944161,3593.760719,15629.636033
96,4,normal_var1,klev_first,gpu_scalar,128,1,0.434010,230.871446,1953.713493
96,4,normal_var1,klev_first,gpu_warp32,128,32,13.888322,7460.030620,62517.557918
96,4,normal_var1,klev_first,gpu_wave64,128,64,20.832483,11269.359205,93776.336878
96,1,normal_var4,klon_first,cpu_scalar,64,1,3.267456,1763.602814,1954.148693
96,1,normal_var4,klon_first,cpu_avx512,64,8,24.967578,205.150544,1944.012169
96,1,normal_var4,klon_first,gpu_scalar,128,1,2.631873,975.276695,1954.148693
96,1,normal_var4,klon_first,gpu_warp32,128,32,80.859375,32.612159,1963.182889
96,1,normal_var4,klon_first,gpu_wave64,128,64,159.482031,17.937981,2001.205612
96,1,normal_var4,klev_first,cpu_scalar,64,1,6.356974,11201.633673,40533.086219
96,1,normal_var4,klev_first,cpu_avx512,64,8,50.855794,55718.816132,300371.502252
96,1,normal_var4,klev_first,gpu_scalar,128,1,6.180037,5635.920242,40533.086219
96,1,normal_var4,klev_first,gpu_warp32,128,32,197.761198,88723.250878,873808.009006
96,1,normal_var4,klev_first,gpu_wave64,128,64,296.641797,70443.427273,1310712.013510
96,2,normal_var4,klon_first,cpu_scalar,64,1,3.267456,1761.595387,1954.290805
96,2,normal_var4,klon_first,cpu_avx512,64,8,24.967578,203.921033,1945.148962
96,2,normal_var4,klon_first,gpu_scalar,128,1,2.631873,974.792492,1954.290805
96,2,normal_var4,klon_first,gpu_warp32,128,32,80.859375,32.636898,1967.728732
96,2,normal_var4,klon_first,gpu_wave64,128,64,159.482031,17.988151,2010.293745
96,2,normal_var4,klev_first,cpu_scalar,64,1,6.356974,11198.011035,40533.086963
96,2,normal_var4,klev_first,cpu_avx512,64,8,50.855794,55716.780820,300371.508204
96,2,normal_var4,klev_first,gpu_scalar,128,1,6.180037,5635.013405,40533.086963
96,2,normal_var4,klev_first,gpu_warp32,128,32,197.761198,88723.043598,873808.032816
96,2,normal_var4,klev_first,gpu_wave64,128,64,296.641797,70443.351867,1310712.049224
96,3,normal_var4,klon_first,cpu_scalar,64,1,7.101685,46179.540560,187574.893866
96,3,normal_var4,klon_first,cpu_avx512,64,8,52.073730,8962.861794,186436.579732
96,3,normal_var4,klon_first,gpu_scalar,128,1,6.789185,23734.175097,187574.893866
96,3,normal_var4,klon_first,gpu_warp32,128,32,198.250000,1316.949919,187809.250168
96,3,normal_var4,klon_first,gpu_wave64,128,64,396.435156,799.355799,190754.003061
96,3,normal_var4,klev_first,cpu_scalar,64,1,0.867913,450.307788,1953.828948
96,3,normal_var4,klev_first,cpu_avx512,64,8,6.943306,3602.462300,15630.554304
96,3,normal_var4,klev_first,gpu_scalar,128,1,0.433957,231.163594,1953.828948
96,3,normal_var4,klev_first,gpu_warp32,128,32,13.886613,7465.466175,62521.157398
96,3,normal_var4,klev_first,gpu_wave64,128,64,20.829919,11273.912721,93781.736097
96,4,normal_var4,klon_first,cpu_scalar,64,1,7.101685,46067.472679,187575.035977
96,4,normal_var4,klon_first,cpu_avx512,64,8,52.073730,8950.287460,186437.716526
96,4,normal_var4,klon_first,gpu_scalar,128,1,6.789185,23707.432447,187575.035977
96,4,normal_var4,klon_first,gpu_warp32,128,32,198.250000,1316.960008,187813.796011
96,4,normal_var4,klon_first,gpu_wave64,128,64,396.435156,799.375980,190763.091194
96,4,normal_var4,klev_first,cpu_scalar,64,1,0.867913,449.275432,1953.829692
96,4,normal_var4,klev_first,cpu_avx512,64,8,6.943306,3594.203454,15630.560256
96,4,normal_var4,klev_first,gpu_scalar,128,1,0.433957,230.915656,1953.829692
96,4,normal_var4,klev_first,gpu_warp32,128,32,13.886613,7461.503182,62521.181207
96,4,normal_var4,klev_first,gpu_wave64,128,64,20.829919,11271.650126,93781.771811
96,1,sequential,klon_first,cpu_scalar,64,1,3.124524,1835.189075,1954.119600
96,1,sequential,klon_first,cpu_avx512,64,8,24.967578,205.124784,1944.011911
96,1,sequential,klon_first,gpu_scalar,128,1,2.561511,992.860220,1954.119600
96,1,sequential,klon_first,gpu_warp32,128,32,80.859375,32.611427,1963.182891
96,1,sequential,klon_first,gpu_wave64,128,64,159.482031,17.937279,2001.205613
96,1,sequential,klev_first,cpu_scalar,64,1,6.006425,11245.754968,40533.086963
