backend,variant,nlev,nproma,cell_dist,parallelization,run_id,time_ms
cpu,1,90,81920,uniform,omp_collapse2,75,0.877516000
cpu,1,90,81920,uniform,omp_collapse2,76,0.857735000
cpu,1,90,81920,uniform,omp_collapse2,77,0.769545000
cpu,1,90,81920,uniform,omp_collapse2,78,0.762884000
cpu,1,90,81920,uniform,omp_collapse2,79,0.769215000
cpu,1,90,81920,uniform,omp_collapse2,80,0.717234000
cpu,1,90,81920,uniform,omp_collapse2,81,0.683203000
cpu,1,90,81920,uniform,omp_collapse2,82,0.656954000
cpu,1,90,81920,uniform,omp_collapse2,83,0.671914000
cpu,1,90,81920,uniform,omp_collapse2,84,0.649664000
cpu,1,90,81920,uniform,omp_collapse2,85,0.651544000
cpu,1,90,81920,uniform,omp_collapse2,86,0.658424000
cpu,1,90,81920,uniform,omp_collapse2,87,0.603374000
cpu,1,90,81920,uniform,omp_collapse2,88,0.593584000
cpu,1,90,81920,uniform,omp_collapse2,89,0.588304000
cpu,1,90,81920,uniform,omp_collapse2,90,0.602063000
cpu,1,90,81920,uniform,omp_collapse2,91,0.616253000
cpu,1,90,81920,uniform,omp_collapse2,92,0.576274000
cpu,1,90,81920,uniform,omp_collapse2,93,0.587973000
cpu,1,90,81920,uniform,omp_collapse2,94,0.630573000
cpu,1,90,81920,uniform,omp_collapse2,95,0.611283000
cpu,1,90,81920,uniform,omp_collapse2,96,0.573683000
cpu,1,90,81920,uniform,omp_collapse2,97,0.593314000
cpu,1,90,81920,uniform,omp_collapse2,98,0.599854000
cpu,1,90,81920,uniform,omp_collapse2,99,0.575013000
cpu,2,90,81920,uniform,omp_for,0,0.759974000
cpu,2,90,81920,uniform,omp_for,1,0.823375000
cpu,2,90,81920,uniform,omp_for,2,0.792445000
cpu,2,90,81920,uniform,omp_for,3,0.727174000
cpu,2,90,81920,uniform,omp_for,4,0.732315000
cpu,2,90,81920,uniform,omp_for,5,0.814924000
cpu,2,90,81920,uniform,omp_for,6,0.750825000
cpu,2,90,81920,uniform,omp_for,7,0.733644000
cpu,2,90,81920,uniform,omp_for,8,0.709314000
cpu,2,90,81920,uniform,omp_for,9,0.850626000
cpu,2,90,81920,uniform,omp_for,10,0.706644000
cpu,2,90,81920,uniform,omp_for,11,0.801034000
cpu,2,90,81920,uniform,omp_for,12,0.730954000
cpu,2,90,81920,uniform,omp_for,13,0.789805000
cpu,2,90,81920,uniform,omp_for,14,0.813055000
cpu,2,90,81920,uniform,omp_for,15,0.753944000
cpu,2,90,81920,uniform,omp_for,16,0.773225000
cpu,2,90,81920,uniform,omp_for,17,0.746885000
cpu,2,90,81920,uniform,omp_for,18,0.750805000
cpu,2,90,81920,uniform,omp_for,19,0.784485000
cpu,2,90,81920,uniform,omp_for,20,0.739214000
cpu,2,90,81920,uniform,omp_for,21,0.727074000
cpu,2,90,81920,uniform,omp_for,22,0.746365000
cpu,2,90,81920,uniform,omp_for,23,0.759565000
cpu,2,90,81920,uniform,omp_for,24,0.698194000
cpu,2,90,81920,uniform,omp_for,25,0.681584000
cpu,2,90,81920,uniform,omp_for,26,0.721874000
cpu,2,90,81920,uniform,omp_for,27,0.704565000
cpu,2,90,81920,uniform,omp_for,28,0.666304000
cpu,2,90,81920,uniform,omp_for,29,0.739075000
cpu,2,90,81920,uniform,omp_for,30,0.718484000
cpu,2,90,81920,uniform,omp_for,31,0.735164000
cpu,2,90,81920,uniform,omp_for,32,0.735455000
cpu,2,90,81920,uniform,omp_for,33,0.723475000
cpu,2,90,81920,uniform,omp_for,34,0.716844000
cpu,2,90,81920,uniform,omp_for,35,0.731604000
cpu,2,90,81920,uniform,omp_for,36,0.738715000
cpu,2,90,81920,uniform,omp_for,37,0.700874000
cpu,2,90,81920,uniform,omp_for,38,0.705305000
cpu,2,90,81920,uniform,omp_for,39,0.727334000
cpu,2,90,81920,uniform,omp_for,40,0.783244000
cpu,2,90,81920,uniform,omp_for,41,0.738624000
cpu,2,90,81920,uniform,omp_for,42,0.726104000
cpu,2,90,81920,uniform,omp_for,43,0.725115000
cpu,2,90,81920,uniform,omp_for,44,0.743094000
cpu,2,90,81920,uniform,omp_for,45,0.748845000
cpu,2,90,81920,uniform,omp_for,46,0.781325000
cpu,2,90,81920,uniform,omp_for,47,0.682904000
cpu,2,90,81920,uniform,omp_for,48,0.759515000
cpu,2,90,81920,uniform,omp_for,49,0.734444000
cpu,2,90,81920,uniform,omp_for,50,0.780234000
cpu,2,90,81920,uniform,omp_for,51,0.804114000
cpu,2,90,81920,uniform,omp_for,52,0.716924000
cpu,2,90,81920,uniform,omp_for,53,0.738334000
cpu,2,90,81920,uniform,omp_for,54,0.735574000
cpu,2,90,81920,uniform,omp_for,55,0.781715000
cpu,2,90,81920,uniform,omp_for,56,0.741795000
cpu,2,90,81920,uniform,omp_for,57,0.704625000
cpu,2,90,81920,uniform,omp_for,58,0.743594000
cpu,2,90,81920,uniform,omp_for,59,0.723384000
cpu,2,90,81920,uniform,omp_for,60,0.745475000
cpu,2,90,81920,uniform,omp_for,61,0.740165000
cpu,2,90,81920,uniform,omp_for,62,0.753914000
cpu,2,90,81920,uniform,omp_for,63,0.751365000
cpu,2,90,81920,uniform,omp_for,64,0.744524000
cpu,2,90,81920,uniform,omp_for,65,0.784755000
cpu,2,90,81920,uniform,omp_for,66,0.756665000
cpu,2,90,81920,uniform,omp_for,67,0.704214000
cpu,2,90,81920,uniform,omp_for,68,0.726744000
cpu,2,90,81920,uniform,omp_for,69,0.758065000
cpu,2,90,81920,uniform,omp_for,70,0.710785000
cpu,2,90,81920,uniform,omp_for,71,0.785205000
cpu,2,90,81920,uniform,omp_for,72,0.813105000
