backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_s
gpu,2,90,81920,uniform,1x2_256x1,1,2,256,1,4,0.001947648
gpu,2,90,81920,uniform,1x2_256x1,1,2,256,1,5,0.001947648
gpu,2,90,81920,uniform,1x2_256x1,1,2,256,1,6,0.001947648
gpu,2,90,81920,uniform,1x2_256x1,1,2,256,1,7,0.001952768
gpu,2,90,81920,uniform,1x2_256x1,1,2,256,1,8,0.001949696
gpu,2,90,81920,uniform,1x2_256x1,1,2,256,1,9,0.001936384
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,0,0.002257920
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,1,0.002248704
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,2,0.002249728
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,3,0.002243584
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,4,0.002250752
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,5,0.002252800
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,6,0.002249728
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,7,0.002244608
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,8,0.002249728
gpu,2,90,81920,uniform,1x4_256x1,1,4,256,1,9,0.002247680
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,0,0.001876992
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,1,0.001875968
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,2,0.001878016
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,3,0.001878016
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,4,0.001878016
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,5,0.001876992
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,6,0.001879040
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,7,0.001876992
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,8,0.001879040
gpu,2,90,81920,uniform,2x2_128x1,2,2,128,1,9,0.001878016
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,0,0.002207744
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,1,0.002197504
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,2,0.002198528
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,3,0.002200576
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,4,0.002201600
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,5,0.002204672
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,6,0.002200576
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,7,0.002202624
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,8,0.002205696
gpu,2,90,81920,uniform,2x4_128x1,2,4,128,1,9,0.002201600
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,0,0.001975296
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,1,0.001971968
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,2,0.001975296
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,3,0.001981440
gpu,2,90,81920,uniform,4x2_64x1,4,2,64,1,4,0.001971200
