backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,89,0.365322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,90,0.364242
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,91,0.366322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,92,0.364132
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,93,0.356882
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,94,0.365932
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,95,0.360162
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,96,0.378622
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,97,0.367682
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,98,0.361002
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,99,0.365882
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,0,0.620964
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,1,0.631244
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,2,0.619124
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,3,0.631004
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,4,0.631164
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,5,0.643004
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,6,0.627444
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,7,0.634124
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,8,0.645964
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,9,0.607763
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,10,0.641124
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,11,0.626204
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,12,0.642204
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,13,0.617603
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,14,0.627724
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,15,0.641364
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,16,0.617683
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,17,0.610083
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,18,0.651204
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,19,0.637884
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,20,0.645764
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,21,0.615283
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,22,0.651004
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,23,0.617683
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,24,0.649324
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,25,0.621964
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,26,0.623764
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,27,0.627764
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,28,0.634404
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,29,0.624644
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,30,0.633284
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,31,0.627844
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,32,0.635844
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,33,0.625564
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,34,0.637964
gpu,1,90,81920,uniform,2x1_128x1,2,1,128,1,35,0.627164
