target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,delta_max,mu_delta_max,beta,alpha,gamma,P_NUMA
GPU_halfw,128,16,V3,omp_for,klev_first,normal1,491520,6.942769,4829.926946,59590.054816,24069.317973,173365.216884,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_for,klev_first,uniform,7864320,0.440754,594.505624,7465.467645,2022.612849,14787.409524,64,0.1600,2.0000,4
GPU_warp32,128,32,V3,omp_for,klev_first,normal1,245760,13.885539,9749.756837,238353.998809,48138.582979,678480.580025,64,0.1600,2.0000,4
CPU_scalar,64,1,V3,omp_for,klev_first,normal1,7864320,0.867846,588.104833,7448.791309,3008.666401,22605.618349,64,0.1600,2.0000,4
CPU_AVX512,64,8,V3,omp_for,klev_first,normal4,983040,6.941549,4704.804232,59604.602478,24069.275599,180717.221436,64,0.1600,2.0000,4
GPU_halfw,128,16,V3,omp_for,klev_first,normal4,491520,6.941549,4829.203828,59604.176480,24069.262061,173278.513283,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_for,klev_first,normal1,7864320,0.433923,301.870434,3724.378426,1504.332373,10835.326055,64,0.1600,2.0000,4
CPU_NEON,64,2,V3,omp_for,klev_first,normal4,3932160,1.735387,1176.201058,14901.150619,6017.318900,45179.305359,64,0.1600,2.0000,4
GPU_warp32,128,32,V3,omp_for,klev_first,normal4,245760,13.883097,9747.723018,238410.463160,48138.469950,678210.262398,64,0.1600,2.0000,4
CPU_scalar,64,1,V3,omp_for,klev_first,normal4,7864320,0.867694,588.100529,7450.575310,3008.659450,22589.652680,64,0.1600,2.0000,4
CPU_AVX512,64,8,V3,omp_for,klev_first,sequential,983040,6.052083,5386.163132,59782.281270,24170.678553,160077.840180,64,0.1600,2.0000,4
GPU_halfw,128,16,V3,omp_for,klev_first,sequential,491520,6.052083,5540.248111,59782.025164,24170.665356,152580.166654,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_for,klev_first,normal4,7864320,0.433847,301.825239,3725.261030,1504.328879,10829.907080,64,0.1600,2.0000,4
CPU_NEON,64,2,V3,omp_for,klev_first,sequential,3932160,1.513021,1346.540783,14945.570318,6042.669638,40019.460045,64,0.1600,2.0000,4
GPU_warp32,128,32,V3,omp_for,klev_first,sequential,245760,12.104167,11188.530617,239122.181619,48341.277909,595207.681069,64,0.1600,2.0000,4
CPU_scalar,64,1,V3,omp_for,klev_first,sequential,7864320,0.756510,673.270391,7472.785159,3021.334819,20009.730023,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_for,klev_first,sequential,7864320,0.378255,346.265507,3736.376573,1510.666585,9536.260416,64,0.1600,2.0000,4
CPU_NEON,64,2,V3,omp_collapse2,klon_first,uniform,3932160,15.249585,61488.109034,919738.324509,283310.309984,4321099.834183,64,0.1600,2.0000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,uniform,983040,60.992969,16090.244107,980482.254913,113508.022262,6924002.065759,64,0.1600,2.0000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,uniform,7864320,7.624927,111196.832056,819498.671410,388365.116705,2961257.985186,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,uniform,7864320,7.312427,57074.975388,478045.443310,194182.558353,1419750.416595,64,0.1600,2.0000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,uniform,491520,116.969727,4257.841625,581184.391511,33571.310547,3926593.947266,64,0.1600,2.0000,4
CPU_NEON,64,2,V3,omp_collapse2,klon_first,normal1,3932160,13.224686,35746.154334,459296.220888,217883.410766,2883389.728910,64,0.1600,2.0000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,normal1,7864320,6.923683,62076.676742,408846.599564,288852.897320,1999204.693615,64,0.1600,2.0000,4
GPU_warp32,128,32,V3,omp_collapse2,klon_first,uniform,245760,233.891797,2209.643915,603024.770490,19299.110156,4513875.867188,64,0.1600,2.0000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,normal1,983040,52.232642,9421.743628,491281.173333,92823.745308,4848030.583366,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,normal1,7864320,6.611183,31915.864398,238501.751675,144426.448660,954724.268518,64,0.1600,2.0000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,normal1,491520,99.462142,2531.360886,293940.725649,28160.996875,2800737.208594,64,0.1600,2.0000,4
GPU_warp32,128,32,V3,omp_collapse2,klon_first,normal1,245760,198.907878,1383.641065,320920.520625,16726.689844,3326668.502344,64,0.1600,2.0000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,normal4,983040,52.070532,9433.728926,490204.286124,92889.802730,4836113.287272,64,0.1600,2.0000,4
CPU_NEON,64,2,V3,omp_collapse2,klon_first,normal4,3932160,13.502203,34901.279549,457632.135910,217157.482250,2931057.043193,64,0.1600,2.0000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,normal4,7864320,7.096277,60384.121632,408583.154828,288850.873931,2048122.237774,64,0.1600,2.0000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,normal4,7864320,6.783777,31025.997099,238348.470453,144425.436966,979429.462933,64,0.1600,2.0000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,normal4,491520,99.133040,2526.640888,292440.702952,28290.404687,2804660.906250,64,0.1600,2.0000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,sequential,983040,52.998340,9294.909493,491969.358590,92772.405465,4916215.049776,64,0.1600,2.0000,4
CPU_NEON,64,2,V3,omp_collapse2,klon_first,sequential,3932160,13.249951,35454.062710,458187.167834,217576.037621,2883849.494585,64,0.1600,2.0000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,sequential,491520,100.990820,2489.467639,293631.715887,27934.629297,2821326.654297,64,0.1600,2.0000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,sequential,7864320,6.624976,64636.497464,410142.680528,290060.546148,1921104.112524,64,0.1600,2.0000,4
