nlev,variant,cell_dist,loop_order,target,block_bytes,vector_width,mu,W,delta_raw,delta_max,delta_uma,delta_numa,mu_delta_raw,mu_delta_uma,mu_delta_numa,sigma,cost_uma,cost_numa,ref_SL,ref_RL,ref_SR,ref_RR,ref_cost,span,W_delta,beta,alpha,gamma,P_NUMA,T
96,1,uniform,klon_first,gpu_scalar,128,1,4.497803,13.999561,1023.053890,2273.404528,1023.053890,1023.079155,4265.852927,4265.852927,4266.184104,68256.604271,4.497796,4.685294,4.485271,4.264729,5.015628,0.234372,4.854166,246196.113252,14322.304871,1,0.0124,1.8000,4,7864320
96,1,uniform,klon_first,gpu_warp32,128,32,141.649219,143.191016,37.035915,3409.850734,37.035915,37.148034,5245.322591,5245.322591,5261.166175,84019.768701,141.646952,147.646855,0.001314,8.748686,0.000085,5.249915,18.198550,247012.536027,5303.210332,1,0.0124,1.8000,4,245760
96,1,uniform,klon_first,gpu_wave64,128,64,278.671094,284.865625,20.227942,3439.929969,20.227942,20.431582,5646.514290,5646.514290,5703.863158,90658.558724,278.661964,290.661573,0.001847,8.748153,0.000171,5.249829,18.197872,247033.323006,5762.245220,1,0.0124,1.8000,4,122880
96,1,normal_var1,klon_first,cpu_scalar,64,1,3.169592,13.260925,1821.396591,4126.229179,1821.396591,1821.452044,4252.665523,4252.665523,4253.327951,34024.282079,3.169585,3.544583,5.868059,2.881941,4.781253,0.468747,3.905168,491536.778608,24153.404125,1,0.0124,1.8000,4,7864320
96,1,normal_var1,klon_first,cpu_avx512,64,8,24.966211,28.617090,206.978983,4949.091903,206.978983,207.175394,5134.672742,5134.672742,5139.972163,41101.044649,24.966094,27.966077,0.778161,7.971839,1.500021,3.749979,14.764931,493536.460827,5923.136162,1,0.0124,1.8000,4,983040
96,1,normal_var1,klon_first,gpu_scalar,128,1,2.584814,13.129028,986.981939,2205.111945,986.981939,987.009656,2126.238899,2126.238899,2126.570076,34022.779825,2.584807,2.772305,6.308000,2.442000,5.015628,0.234372,3.054038,245768.389118,12958.113827,1,0.0124,1.8000,4,7864320
96,1,normal_var1,klon_first,gpu_warp32,128,32,80.878906,83.241406,32.844651,3053.050578,32.844651,33.036869,2659.376579,2659.376579,2675.220163,42644.646419,80.877556,86.877458,0.000924,8.749076,0.000085,5.249915,18.198936,246975.222750,2734.034922,1,0.0124,1.8000,4,245760
96,1,normal_var1,klon_first,gpu_wave64,128,64,159.544531,164.128125,18.215395,3075.382051,18.215395,18.567043,2918.040592,2918.040592,2975.389460,47003.037174,159.539195,171.538804,0.000285,8.749715,0.000171,5.249829,18.199415,247014.405436,2989.658626,1,0.0124,1.8000,4,122880
96,1,normal_var4,klon_first,cpu_scalar,64,1,3.267639,13.347107,1763.213716,3987.965722,1763.213716,1763.269000,4270.693888,4270.693888,4271.356316,34168.508996,3.267632,3.642630,5.621147,3.128853,4.781253,0.468747,4.149018,491533.633181,23533.802011,1,0.0124,1.8000,4,7864320
96,1,normal_var4,klon_first,cpu_avx512,64,8,24.967383,28.785840,205.876229,4947.116815,205.876229,206.072602,5108.536117,5108.536117,5113.835538,40891.951648,24.967266,27.967249,0.913512,7.836488,1.500021,3.749979,14.631257,493531.075616,5926.320151,1,0.0124,1.8000,4,983040
96,1,normal_var4,klon_first,gpu_scalar,128,1,2.632471,13.175061,974.822919,2173.545346,974.822919,974.850548,2135.231762,2135.231762,2135.562939,34166.665632,2.632464,2.819962,6.183928,2.566072,5.015628,0.234372,3.176572,245766.816551,12843.351454,1,0.0124,1.8000,4,7864320
96,1,normal_var4,klon_first,gpu_warp32,128,32,80.853125,83.403125,32.669683,3051.964902,32.669683,32.861931,2644.507161,2644.507161,2660.350745,42406.735742,80.851775,86.851677,0.000533,8.749467,0.000085,5.249915,18.199322,246973.321236,2724.753682,1,0.0124,1.8000,4,245760
96,1,normal_var4,klon_first,gpu_wave64,128,64,159.369531,164.238281,18.312718,3074.131973,18.312718,18.666901,2926.769141,2926.769141,2984.118008,47142.694922,159.364259,171.363868,0.000285,8.749715,0.000171,5.249829,18.199415,247013.409188,3007.649385,1,0.0124,1.8000,4,122880
96,1,sequential,klon_first,cpu_scalar,64,1,3.124658,12.999951,1837.715148,4143.060172,1837.715148,1837.773195,4271.931146,4271.931146,4272.593574,34178.407066,3.124652,3.499650,5.968828,2.781172,4.781253,0.468747,3.805649,491530.744417,23890.207187,1,0.0124,1.8000,4,7864320
96,1,sequential,klon_first,cpu_avx512,64,8,24.965918,27.990137,204.579446,4950.523220,204.579446,204.778640,5073.804732,5073.804732,5079.104154,40614.100602,24.965805,27.965788,0.500622,8.249378,1.500021,3.749979,15.039028,493537.440960,5726.206665,1,0.0124,1.8000,4,983040
