backend,variant,nlev,nproma,cell_dist,blocking,parallelization,run_id,time_ms
cpu,1,90,81920,uniform,0,omp_collapse2,28,2.531268000
cpu,1,90,81920,uniform,0,omp_collapse2,29,2.567969000
cpu,1,90,81920,uniform,0,omp_collapse2,30,2.598778000
cpu,1,90,81920,uniform,0,omp_collapse2,31,2.586439000
cpu,1,90,81920,uniform,0,omp_collapse2,32,2.531989000
cpu,1,90,81920,uniform,0,omp_collapse2,33,2.587249000
cpu,1,90,81920,uniform,0,omp_collapse2,34,2.593249000
cpu,1,90,81920,uniform,0,omp_collapse2,35,2.560549000
cpu,1,90,81920,uniform,0,omp_collapse2,36,2.597929000
cpu,1,90,81920,uniform,0,omp_collapse2,37,2.597139000
cpu,1,90,81920,uniform,0,omp_collapse2,38,2.609609000
cpu,1,90,81920,uniform,0,omp_collapse2,39,2.548599000
cpu,1,90,81920,uniform,0,omp_collapse2,40,2.604069000
cpu,1,90,81920,uniform,0,omp_collapse2,41,2.568999000
cpu,1,90,81920,uniform,0,omp_collapse2,42,2.593489000
cpu,1,90,81920,uniform,0,omp_collapse2,43,2.576579000
cpu,1,90,81920,uniform,0,omp_collapse2,44,2.532398000
cpu,1,90,81920,uniform,0,omp_collapse2,45,2.611969000
cpu,1,90,81920,uniform,0,omp_collapse2,46,2.557479000
cpu,1,90,81920,uniform,0,omp_collapse2,47,2.575399000
cpu,1,90,81920,uniform,0,omp_collapse2,48,2.573168000
cpu,1,90,81920,uniform,0,omp_collapse2,49,2.563998000
cpu,1,90,81920,uniform,0,omp_collapse2,50,2.540739000
cpu,1,90,81920,uniform,0,omp_collapse2,51,2.580959000
cpu,1,90,81920,uniform,0,omp_collapse2,52,2.554139000
cpu,1,90,81920,uniform,0,omp_collapse2,53,2.604058000
cpu,1,90,81920,uniform,0,omp_collapse2,54,2.526049000
cpu,1,90,81920,uniform,0,omp_collapse2,55,2.564309000
cpu,1,90,81920,uniform,0,omp_collapse2,56,2.597269000
cpu,1,90,81920,uniform,0,omp_collapse2,57,2.563888000
cpu,1,90,81920,uniform,0,omp_collapse2,58,2.610160000
cpu,1,90,81920,uniform,0,omp_collapse2,59,2.552608000
cpu,1,90,81920,uniform,0,omp_collapse2,60,2.599658000
cpu,1,90,81920,uniform,0,omp_collapse2,61,2.551018000
cpu,1,90,81920,uniform,0,omp_collapse2,62,2.579239000
cpu,1,90,81920,uniform,0,omp_collapse2,63,2.604999000
cpu,1,90,81920,uniform,0,omp_collapse2,64,2.570348000
cpu,1,90,81920,uniform,0,omp_collapse2,65,2.611839000
cpu,1,90,81920,uniform,0,omp_collapse2,66,2.611020000
cpu,1,90,81920,uniform,0,omp_collapse2,67,2.546079000
cpu,1,90,81920,uniform,0,omp_collapse2,68,2.551968000
cpu,1,90,81920,uniform,0,omp_collapse2,69,2.641859000
cpu,1,90,81920,uniform,0,omp_collapse2,70,2.579489000
cpu,1,90,81920,uniform,0,omp_collapse2,71,2.566239000
cpu,1,90,81920,uniform,0,omp_collapse2,72,2.573378000
cpu,1,90,81920,uniform,0,omp_collapse2,73,2.558569000
cpu,1,90,81920,uniform,0,omp_collapse2,74,2.636049000
cpu,1,90,81920,uniform,0,omp_collapse2,75,2.588109000
cpu,1,90,81920,uniform,0,omp_collapse2,76,2.574759000
cpu,1,90,81920,uniform,0,omp_collapse2,77,2.556028000
cpu,1,90,81920,uniform,0,omp_collapse2,78,2.546768000
cpu,1,90,81920,uniform,0,omp_collapse2,79,2.569938000
cpu,1,90,81920,uniform,0,omp_collapse2,80,2.604969000
cpu,1,90,81920,uniform,0,omp_collapse2,81,2.568199000
cpu,1,90,81920,uniform,0,omp_collapse2,82,2.550408000
cpu,1,90,81920,uniform,0,omp_collapse2,83,2.592208000
cpu,1,90,81920,uniform,0,omp_collapse2,84,2.593979000
cpu,1,90,81920,uniform,0,omp_collapse2,85,2.632439000
cpu,1,90,81920,uniform,0,omp_collapse2,86,2.570699000
cpu,1,90,81920,uniform,0,omp_collapse2,87,2.616708000
cpu,1,90,81920,uniform,0,omp_collapse2,88,2.551109000
cpu,1,90,81920,uniform,0,omp_collapse2,89,2.603399000
cpu,1,90,81920,uniform,0,omp_collapse2,90,2.529898000
cpu,1,90,81920,uniform,0,omp_collapse2,91,2.559568000
cpu,1,90,81920,uniform,0,omp_collapse2,92,2.552928000
cpu,1,90,81920,uniform,0,omp_collapse2,93,2.577259000
cpu,1,90,81920,uniform,0,omp_collapse2,94,2.561567000
cpu,1,90,81920,uniform,0,omp_collapse2,95,2.556809000
cpu,1,90,81920,uniform,0,omp_collapse2,96,2.564819000
cpu,1,90,81920,uniform,0,omp_collapse2,97,2.580529000
cpu,1,90,81920,uniform,0,omp_collapse2,98,2.601148000
cpu,1,90,81920,uniform,0,omp_collapse2,99,2.557279000
cpu,2,90,81920,uniform,0,omp_for,0,1.821213000
