n_arrays,run,ms,gbps
25,0,27.284467,491.92
25,1,27.222137,493.05
25,2,27.481109,488.40
25,3,27.456997,488.83
25,4,27.512149,487.85
25,5,27.343886,490.85
25,6,27.176766,493.87
25,7,27.229328,492.92
25,8,27.292207,491.78
25,9,27.223178,493.03
25,10,27.256497,492.42
25,11,27.354848,490.65
25,12,27.448699,488.98
25,13,27.260506,492.35
25,14,27.319208,491.29
25,15,27.250476,492.53
25,16,27.211107,493.25
25,17,27.389948,490.03
25,18,27.240466,492.71
25,19,27.689680,484.72
25,20,27.438337,489.16
25,21,27.404139,489.77
25,22,27.411807,489.63
25,23,27.529167,487.55
25,24,27.299648,491.65
25,25,27.262506,492.32
25,26,27.249098,492.56
25,27,27.346197,490.81
25,28,27.328846,491.12
25,29,27.259288,492.37
25,30,27.264136,492.29
25,31,27.466309,488.66
25,32,27.374557,490.30
25,33,27.282077,491.96
25,34,27.454079,488.88
25,35,27.232806,492.85
25,36,27.392228,489.98
25,37,27.363036,490.51
25,38,27.406327,489.73
25,39,27.627390,485.81
25,40,27.609518,486.13
25,41,27.287788,491.86
25,42,27.270726,492.17
25,43,27.268308,492.21
25,44,27.278178,492.03
25,45,27.227906,492.94
25,46,27.284258,491.92
25,47,27.369277,490.40
25,48,27.345419,490.82
25,49,27.296087,491.71
30,0,32.655572,493.21
30,1,32.675461,492.91
30,2,32.691524,492.67
30,3,32.781673,491.31
30,4,32.859492,490.15
30,5,32.802072,491.01
30,6,32.948205,488.83
30,7,32.705421,492.46
30,8,32.848702,490.31
30,9,32.732704,492.05
30,10,33.049793,487.33
30,11,32.880293,489.84
30,12,32.692174,492.66
30,13,32.799492,491.05
30,14,32.709401,492.40
30,15,32.767142,491.53
30,16,32.660983,493.13
30,17,32.700561,492.53
30,18,32.909873,489.40
30,19,32.706464,492.44
30,20,32.771962,491.46
30,21,32.838163,490.47
30,22,32.693263,492.64
30,23,32.824223,490.68
30,24,32.729842,492.09
30,25,32.863303,490.09
30,26,32.926565,489.15
30,27,33.002903,488.02
30,28,32.727952,492.12
30,29,32.726043,492.15
30,30,32.703852,492.48
30,31,32.702242,492.51
30,32,32.656752,493.19
30,33,32.787084,491.23
30,34,32.794942,491.12
30,35,32.755892,491.70
30,36,32.714824,492.32
30,37,32.749192,491.80
30,38,32.704992,492.47
30,39,32.845804,490.36
30,40,32.713783,492.33
30,41,33.067744,487.06
30,42,32.744122,491.88
30,43,32.639483,493.46
30,44,32.761872,491.61
30,45,32.658742,493.16
30,46,32.733863,492.03
30,47,32.693182,492.64
30,48,32.786592,491.24
30,49,32.765282,491.56
