device,layout,run,ms,gbps
CPU,SoA,71,8.204023,523.52
CPU,SoA,72,8.189163,524.47
CPU,SoA,73,8.163533,526.12
CPU,SoA,74,8.184883,524.74
CPU,SoA,75,8.192773,524.24
CPU,SoA,76,8.137683,527.79
CPU,SoA,77,8.142523,527.47
CPU,SoA,78,8.136433,527.87
CPU,SoA,79,8.144662,527.34
CPU,SoA,80,8.137693,527.79
CPU,SoA,81,8.163123,526.14
CPU,SoA,82,8.149633,527.01
CPU,SoA,83,8.175733,525.33
CPU,SoA,84,8.180103,525.05
CPU,SoA,85,8.158913,526.41
CPU,SoA,86,8.138233,527.75
CPU,SoA,87,8.084962,531.23
CPU,SoA,88,8.095793,530.52
CPU,SoA,89,8.112803,529.41
CPU,SoA,90,8.128182,528.40
CPU,SoA,91,8.187383,524.58
CPU,SoA,92,8.340174,514.97
CPU,SoA,93,8.325414,515.89
CPU,SoA,94,8.305493,517.12
CPU,SoA,95,8.343754,514.75
CPU,SoA,96,8.355483,514.03
CPU,SoA,97,8.316194,516.46
CPU,SoA,98,8.312234,516.70
CPU,SoA,99,8.310113,516.84
CPU,AoSoA-2,0,21.625438,198.61
CPU,AoSoA-2,1,21.716927,197.77
CPU,AoSoA-2,2,21.704878,197.88
CPU,AoSoA-2,3,21.712398,197.81
CPU,AoSoA-2,4,20.758453,206.90
CPU,AoSoA-2,5,20.695194,207.53
CPU,AoSoA-2,6,20.718864,207.30
CPU,AoSoA-2,7,20.612612,208.37
CPU,AoSoA-2,8,20.700075,207.49
CPU,AoSoA-2,9,20.661882,207.87
CPU,AoSoA-2,10,20.866245,205.83
CPU,AoSoA-2,11,20.871424,205.78
CPU,AoSoA-2,12,20.866354,205.83
CPU,AoSoA-2,13,20.862965,205.87
CPU,AoSoA-2,14,20.754543,206.94
CPU,AoSoA-2,15,20.702734,207.46
CPU,AoSoA-2,16,20.737234,207.11
CPU,AoSoA-2,17,20.709803,207.39
CPU,AoSoA-2,18,20.752864,206.96
CPU,AoSoA-2,19,20.898044,205.52
CPU,AoSoA-2,20,20.378982,210.75
CPU,AoSoA-2,21,21.037465,204.16
CPU,AoSoA-2,22,21.359318,201.08
CPU,AoSoA-2,23,21.326565,201.39
CPU,AoSoA-2,24,21.337236,201.29
CPU,AoSoA-2,25,21.308857,201.56
CPU,AoSoA-2,26,21.163325,202.94
CPU,AoSoA-2,27,20.866584,205.83
CPU,AoSoA-2,28,21.054655,203.99
CPU,AoSoA-2,29,21.251535,202.10
CPU,AoSoA-2,30,21.087996,203.67
CPU,AoSoA-2,31,21.129365,203.27
CPU,AoSoA-2,32,21.104675,203.51
CPU,AoSoA-2,33,21.058786,203.95
CPU,AoSoA-2,34,20.991124,204.61
CPU,AoSoA-2,35,20.822184,206.27
CPU,AoSoA-2,36,20.915025,205.35
CPU,AoSoA-2,37,21.422936,200.48
CPU,AoSoA-2,38,21.360276,201.07
CPU,AoSoA-2,39,21.392927,200.77
CPU,AoSoA-2,40,21.353415,201.14
CPU,AoSoA-2,41,21.287966,201.76
CPU,AoSoA-2,42,21.211916,202.48
CPU,AoSoA-2,43,20.596243,208.53
CPU,AoSoA-2,44,21.063715,203.90
CPU,AoSoA-2,45,20.799455,206.49
CPU,AoSoA-2,46,20.806824,206.42
CPU,AoSoA-2,47,20.763223,206.85
CPU,AoSoA-2,48,20.766195,206.82
CPU,AoSoA-2,49,20.703203,207.45
CPU,AoSoA-2,50,20.744514,207.04
CPU,AoSoA-2,51,20.764634,206.84
CPU,AoSoA-2,52,20.959844,204.91
CPU,AoSoA-2,53,20.990815,204.61
CPU,AoSoA-2,54,20.965184,204.86
CPU,AoSoA-2,55,20.932105,205.19
CPU,AoSoA-2,56,20.711104,207.38
CPU,AoSoA-2,57,20.308791,211.48
CPU,AoSoA-2,58,20.468084,209.84
CPU,AoSoA-2,59,20.698332,207.50
CPU,AoSoA-2,60,20.708904,207.40
CPU,AoSoA-2,61,20.741494,207.07
CPU,AoSoA-2,62,20.746163,207.02
CPU,AoSoA-2,63,20.746045,207.03
CPU,AoSoA-2,64,21.032404,204.21
CPU,AoSoA-2,65,21.011865,204.41
CPU,AoSoA-2,66,21.231516,202.29
CPU,AoSoA-2,67,21.267345,201.95
CPU,AoSoA-2,68,21.101766,203.54
CPU,AoSoA-2,69,20.741904,207.07
CPU,AoSoA-2,70,20.543643,209.07
CPU,AoSoA-2,71,20.580803,208.69
CPU,AoSoA-2,72,20.754224,206.94
CPU,AoSoA-2,73,24.386649,176.12
CPU,AoSoA-2,74,25.229271,170.24
CPU,AoSoA-2,75,25.567343,167.99
CPU,AoSoA-2,76,26.210576,163.86
CPU,AoSoA-2,77,26.192026,163.98
CPU,AoSoA-2,78,25.302712,169.74
CPU,AoSoA-2,79,24.504069,175.28
CPU,AoSoA-2,80,24.501319,175.30
CPU,AoSoA-2,81,24.502258,175.29
CPU,AoSoA-2,82,24.520419,175.16
CPU,AoSoA-2,83,24.412719,175.93
CPU,AoSoA-2,84,21.760238,197.38
CPU,AoSoA-2,85,21.557167,199.24
CPU,AoSoA-2,86,21.653297,198.35
CPU,AoSoA-2,87,21.778078,197.22
CPU,AoSoA-2,88,21.759848,197.38
CPU,AoSoA-2,89,21.781199,197.19
CPU,AoSoA-2,90,21.779488,197.20
CPU,AoSoA-2,91,21.269965,201.93
CPU,AoSoA-2,92,21.460627,200.13
CPU,AoSoA-2,93,21.530857,199.48
CPU,AoSoA-2,94,21.804728,196.97
CPU,AoSoA-2,95,21.803648,196.98
CPU,AoSoA-2,96,21.826778,196.78
CPU,AoSoA-2,97,21.674277,198.16
CPU,AoSoA-2,98,21.534956,199.44
CPU,AoSoA-2,99,21.329676,201.36
CPU,AoSoA-4,0,21.246905,202.15
CPU,AoSoA-4,1,21.231426,202.29
CPU,AoSoA-4,2,21.210716,202.49
CPU,AoSoA-4,3,21.210855,202.49
CPU,AoSoA-4,4,21.235816,202.25
CPU,AoSoA-4,5,21.094915,203.60
CPU,AoSoA-4,6,20.962966,204.88
CPU,AoSoA-4,7,20.883283,205.67
CPU,AoSoA-4,8,20.879675,205.70
CPU,AoSoA-4,9,20.806524,206.42
CPU,AoSoA-4,10,20.806824,206.42
CPU,AoSoA-4,11,20.724514,207.24
CPU,AoSoA-4,12,20.719673,207.29
CPU,AoSoA-4,13,20.700274,207.48
CPU,AoSoA-4,14,20.602902,208.46
CPU,AoSoA-4,15,20.602254,208.47
CPU,AoSoA-4,16,20.785314,206.63
CPU,AoSoA-4,17,20.649693,207.99
CPU,AoSoA-4,18,20.690924,207.58
CPU,AoSoA-4,19,20.636353,208.13
CPU,AoSoA-4,20,20.854494,205.95
CPU,AoSoA-4,21,20.986625,204.65
CPU,AoSoA-4,22,21.182555,202.76
CPU,AoSoA-4,23,21.206036,202.54
CPU,AoSoA-4,24,21.418436,200.53
CPU,AoSoA-4,25,21.770308,197.29
CPU,AoSoA-4,26,21.814078,196.89
CPU,AoSoA-4,27,21.795048,197.06
CPU,AoSoA-4,28,22.082840,194.49
CPU,AoSoA-4,29,21.658998,198.30
CPU,AoSoA-4,30,21.726357,197.68
CPU,AoSoA-4,31,21.712978,197.81
CPU,AoSoA-4,32,21.820878,196.83
CPU,AoSoA-4,33,21.823938,196.80
CPU,AoSoA-4,34,21.770187,197.29
CPU,AoSoA-4,35,21.783879,197.16
CPU,AoSoA-4,36,21.793928,197.07
CPU,AoSoA-4,37,21.828517,196.76
CPU,AoSoA-4,38,21.778298,197.21
CPU,AoSoA-4,39,21.830689,196.74
CPU,AoSoA-4,40,21.715267,197.79
CPU,AoSoA-4,41,21.689167,198.02
CPU,AoSoA-4,42,21.595838,198.88
CPU,AoSoA-4,43,21.484687,199.91
CPU,AoSoA-4,44,21.431556,200.40
CPU,AoSoA-4,45,21.323016,201.42
CPU,AoSoA-4,46,21.272026,201.91
CPU,AoSoA-4,47,21.167575,202.90
CPU,AoSoA-4,48,20.936945,205.14
CPU,AoSoA-4,49,21.536647,199.43
CPU,AoSoA-4,50,21.722987,197.72
CPU,AoSoA-4,51,21.711029,197.82
CPU,AoSoA-4,52,21.699017,197.93
CPU,AoSoA-4,53,21.746218,197.50
CPU,AoSoA-4,54,21.723478,197.71
CPU,AoSoA-4,55,21.752638,197.45
CPU,AoSoA-4,56,21.704527,197.88
CPU,AoSoA-4,57,21.722148,197.72
CPU,AoSoA-4,58,21.713618,197.80
CPU,AoSoA-4,59,21.719387,197.75
CPU,AoSoA-4,60,21.709818,197.84
CPU,AoSoA-4,61,21.760708,197.37
CPU,AoSoA-4,62,21.709177,197.84
CPU,AoSoA-4,63,21.761928,197.36
CPU,AoSoA-4,64,21.718218,197.76
CPU,AoSoA-4,65,21.712727,197.81
CPU,AoSoA-4,66,21.669487,198.20
CPU,AoSoA-4,67,21.706239,197.87
CPU,AoSoA-4,68,21.685367,198.06
CPU,AoSoA-4,69,21.755098,197.42
CPU,AoSoA-4,70,21.714207,197.80
CPU,AoSoA-4,71,21.726808,197.68
CPU,AoSoA-4,72,21.704998,197.88
CPU,AoSoA-4,73,21.731059,197.64
CPU,AoSoA-4,74,21.708987,197.84
CPU,AoSoA-4,75,21.610907,198.74
CPU,AoSoA-4,76,21.659408,198.30
CPU,AoSoA-4,77,21.953478,195.64
CPU,AoSoA-4,78,21.996879,195.25
CPU,AoSoA-4,79,21.996788,195.25
CPU,AoSoA-4,80,21.987560,195.34
CPU,AoSoA-4,81,21.966498,195.52
CPU,AoSoA-4,82,21.935798,195.80
CPU,AoSoA-4,83,21.143336,203.14
CPU,AoSoA-4,84,21.837748,196.68
CPU,AoSoA-4,85,22.025949,195.00
CPU,AoSoA-4,86,22.029888,194.96
CPU,AoSoA-4,87,22.048940,194.79
CPU,AoSoA-4,88,22.002339,195.21
CPU,AoSoA-4,89,22.033968,194.92
CPU,AoSoA-4,90,21.991819,195.30
CPU,AoSoA-4,91,21.898759,196.13
CPU,AoSoA-4,92,21.751868,197.45
CPU,AoSoA-4,93,21.648286,198.40
CPU,AoSoA-4,94,21.544629,199.35
CPU,AoSoA-4,95,21.518426,199.59
CPU,AoSoA-4,96,21.477977,199.97
CPU,AoSoA-4,97,21.473057,200.02
CPU,AoSoA-4,98,21.595217,198.89
CPU,AoSoA-4,99,21.545497,199.34
CPU,AoSoA-8,0,21.974308,195.45
CPU,AoSoA-8,1,21.682337,198.09
CPU,AoSoA-8,2,21.670638,198.19
CPU,AoSoA-8,3,21.656237,198.32
CPU,AoSoA-8,4,21.783728,197.16
CPU,AoSoA-8,5,21.622278,198.64
CPU,AoSoA-8,6,22.284860,192.73
CPU,AoSoA-8,7,22.114389,194.22
CPU,AoSoA-8,8,22.092658,194.41
CPU,AoSoA-8,9,22.109740,194.26
CPU,AoSoA-8,10,22.118920,194.18
CPU,AoSoA-8,11,22.068408,194.62
CPU,AoSoA-8,12,22.121861,194.15
CPU,AoSoA-8,13,22.178269,193.66
CPU,AoSoA-8,14,22.150529,193.90
CPU,AoSoA-8,15,21.512297,199.65
CPU,AoSoA-8,16,21.593668,198.90
CPU,AoSoA-8,17,21.542406,199.37
CPU,AoSoA-8,18,21.570567,199.11
CPU,AoSoA-8,19,21.638408,198.49
CPU,AoSoA-8,20,21.542407,199.37
CPU,AoSoA-8,21,21.568666,199.13
CPU,AoSoA-8,22,21.581858,199.01
CPU,AoSoA-8,23,21.614487,198.71
CPU,AoSoA-8,24,21.611807,198.73
CPU,AoSoA-8,25,21.542337,199.37
CPU,AoSoA-8,26,21.570588,199.11
CPU,AoSoA-8,27,21.564506,199.17
CPU,AoSoA-8,28,21.555257,199.25
CPU,AoSoA-8,29,21.589108,198.94
CPU,AoSoA-8,30,21.538766,199.41
CPU,AoSoA-8,31,21.553497,199.27
CPU,AoSoA-8,32,21.580927,199.02
CPU,AoSoA-8,33,21.574647,199.07
CPU,AoSoA-8,34,21.627959,198.58
CPU,AoSoA-8,35,21.530306,199.48
CPU,AoSoA-8,36,21.503747,199.73
CPU,AoSoA-8,37,21.593687,198.90
CPU,AoSoA-8,38,21.635438,198.52
CPU,AoSoA-8,39,21.558486,199.22
CPU,AoSoA-8,40,21.543998,199.36
CPU,AoSoA-8,41,21.545137,199.35
CPU,AoSoA-8,42,21.561666,199.19
CPU,AoSoA-8,43,21.559937,199.21
CPU,AoSoA-8,44,21.583628,198.99
CPU,AoSoA-8,45,21.563106,199.18
CPU,AoSoA-8,46,21.577967,199.04
CPU,AoSoA-8,47,21.599568,198.85
CPU,AoSoA-8,48,21.544417,199.35
CPU,AoSoA-8,49,21.549266,199.31
CPU,AoSoA-8,50,21.967169,195.52
CPU,AoSoA-8,51,21.500057,199.77
CPU,AoSoA-8,52,21.575047,199.07
CPU,AoSoA-8,53,21.538887,199.41
CPU,AoSoA-8,54,21.545897,199.34
CPU,AoSoA-8,55,21.577937,199.04
CPU,AoSoA-8,56,21.571958,199.10
CPU,AoSoA-8,57,21.716637,197.77
CPU,AoSoA-8,58,21.685168,198.06
CPU,AoSoA-8,59,21.691268,198.00
CPU,AoSoA-8,60,21.669647,198.20
CPU,AoSoA-8,61,21.669567,198.20
CPU,AoSoA-8,62,21.712858,197.81
CPU,AoSoA-8,63,21.576857,199.05
CPU,AoSoA-8,64,21.590346,198.93
CPU,AoSoA-8,65,21.592798,198.91
CPU,AoSoA-8,66,21.691457,198.00
CPU,AoSoA-8,67,21.698998,197.93
CPU,AoSoA-8,68,21.557196,199.24
CPU,AoSoA-8,69,21.610648,198.74
CPU,AoSoA-8,70,21.578827,199.04
CPU,AoSoA-8,71,21.558367,199.23
CPU,AoSoA-8,72,21.578187,199.04
CPU,AoSoA-8,73,21.549507,199.31
CPU,AoSoA-8,74,21.600277,198.84
CPU,AoSoA-8,75,21.572377,199.10
CPU,AoSoA-8,76,21.574808,199.07
CPU,AoSoA-8,77,21.552166,199.28
CPU,AoSoA-8,78,21.558908,199.22
CPU,AoSoA-8,79,21.617667,198.68
CPU,AoSoA-8,80,21.537967,199.41
CPU,AoSoA-8,81,21.522597,199.56
CPU,AoSoA-8,82,21.549487,199.31
CPU,AoSoA-8,83,21.558107,199.23
CPU,AoSoA-8,84,21.615768,198.70
CPU,AoSoA-8,85,21.734727,197.61
CPU,AoSoA-8,86,21.623667,198.62
CPU,AoSoA-8,87,21.789628,197.11
CPU,AoSoA-8,88,21.649938,198.38
CPU,AoSoA-8,89,21.630497,198.56
CPU,AoSoA-8,90,21.615387,198.70
CPU,AoSoA-8,91,21.622128,198.64
CPU,AoSoA-8,92,21.648287,198.40
CPU,AoSoA-8,93,21.653407,198.35
CPU,AoSoA-8,94,21.645788,198.42
CPU,AoSoA-8,95,21.686707,198.05
CPU,AoSoA-8,96,21.887178,196.23
CPU,AoSoA-8,97,21.663958,198.25
CPU,AoSoA-8,98,21.523697,199.55
CPU,AoSoA-8,99,21.532026,199.47
CPU,AoSoA-16,0,19.570020,219.47
CPU,AoSoA-16,1,19.520268,220.03
CPU,AoSoA-16,2,19.496809,220.29
CPU,AoSoA-16,3,19.388308,221.52
CPU,AoSoA-16,4,19.245017,223.17
CPU,AoSoA-16,5,19.084938,225.04
CPU,AoSoA-16,6,19.002856,226.02
CPU,AoSoA-16,7,18.771846,228.80
CPU,AoSoA-16,8,18.349425,234.07
CPU,AoSoA-16,9,18.225743,235.65
CPU,AoSoA-16,10,18.195963,236.04
CPU,AoSoA-16,11,18.193984,236.07
CPU,AoSoA-16,12,18.158543,236.53
CPU,AoSoA-16,13,18.153523,236.59
CPU,AoSoA-16,14,18.169173,236.39
CPU,AoSoA-16,15,18.135324,236.83
CPU,AoSoA-16,16,18.166563,236.42
CPU,AoSoA-16,17,18.130103,236.90
CPU,AoSoA-16,18,18.162733,236.47
CPU,AoSoA-16,19,18.118434,237.05
CPU,AoSoA-16,20,18.125023,236.96
CPU,AoSoA-16,21,18.166674,236.42
CPU,AoSoA-16,22,18.169013,236.39
CPU,AoSoA-16,23,18.117813,237.06
CPU,AoSoA-16,24,18.074223,237.63
CPU,AoSoA-16,25,18.123384,236.98
CPU,AoSoA-16,26,18.072492,237.65
CPU,AoSoA-16,27,18.090123,237.42
CPU,AoSoA-16,28,18.086513,237.47
CPU,AoSoA-16,29,18.068873,237.70
CPU,AoSoA-16,30,18.073932,237.63
CPU,AoSoA-16,31,18.112253,237.13
CPU,AoSoA-16,32,18.095013,237.36
CPU,AoSoA-16,33,18.100904,237.28
CPU,AoSoA-16,34,18.059012,237.83
CPU,AoSoA-16,35,18.131233,236.88
CPU,AoSoA-16,36,18.110644,237.15
CPU,AoSoA-16,37,18.090823,237.41
CPU,AoSoA-16,38,18.086112,237.47
CPU,AoSoA-16,39,18.099983,237.29
CPU,AoSoA-16,40,18.074994,237.62
CPU,AoSoA-16,41,18.100612,237.28
CPU,AoSoA-16,42,18.086083,237.47
CPU,AoSoA-16,43,18.101883,237.27
CPU,AoSoA-16,44,18.155704,236.56
CPU,AoSoA-16,45,19.045246,225.51
CPU,AoSoA-16,46,18.803106,228.42
CPU,AoSoA-16,47,19.055628,225.39
CPU,AoSoA-16,48,19.065648,225.27
CPU,AoSoA-16,49,18.996746,226.09
CPU,AoSoA-16,50,18.951136,226.63
CPU,AoSoA-16,51,18.890907,227.36
CPU,AoSoA-16,52,18.751675,229.04
CPU,AoSoA-16,53,18.679566,229.93
CPU,AoSoA-16,54,18.332694,234.28
CPU,AoSoA-16,55,18.204933,235.92
CPU,AoSoA-16,56,18.196733,236.03
CPU,AoSoA-16,57,18.180044,236.25
CPU,AoSoA-16,58,18.186713,236.16
CPU,AoSoA-16,59,18.161913,236.48
CPU,AoSoA-16,60,18.176004,236.30
CPU,AoSoA-16,61,18.112923,237.12
CPU,AoSoA-16,62,18.163513,236.46
CPU,AoSoA-16,63,18.121173,237.01
CPU,AoSoA-16,64,18.099614,237.30
CPU,AoSoA-16,65,18.140253,236.76
CPU,AoSoA-16,66,18.117743,237.06
CPU,AoSoA-16,67,18.113793,237.11
CPU,AoSoA-16,68,18.105273,237.22
CPU,AoSoA-16,69,18.120333,237.02
CPU,AoSoA-16,70,18.088393,237.44
CPU,AoSoA-16,71,18.125963,236.95
CPU,AoSoA-16,72,18.078603,237.57
CPU,AoSoA-16,73,18.101644,237.27
CPU,AoSoA-16,74,18.104653,237.23
CPU,AoSoA-16,75,18.089773,237.43
CPU,AoSoA-16,76,18.143883,236.72
CPU,AoSoA-16,77,18.079833,237.56
CPU,AoSoA-16,78,18.085174,237.49
CPU,AoSoA-16,79,18.154333,236.58
CPU,AoSoA-16,80,18.196433,236.03
CPU,AoSoA-16,81,18.146613,236.68
CPU,AoSoA-16,82,18.188864,236.13
CPU,AoSoA-16,83,18.123323,236.99
CPU,AoSoA-16,84,18.192023,236.09
CPU,AoSoA-16,85,18.155794,236.56
CPU,AoSoA-16,86,18.160153,236.51
CPU,AoSoA-16,87,18.140933,236.76
CPU,AoSoA-16,88,18.158683,236.52
CPU,AoSoA-16,89,18.114294,237.10
CPU,AoSoA-16,90,18.178213,236.27
CPU,AoSoA-16,91,18.159883,236.51
CPU,AoSoA-16,92,18.156573,236.55
CPU,AoSoA-16,93,18.149344,236.65
CPU,AoSoA-16,94,18.105412,237.22
CPU,AoSoA-16,95,18.138403,236.79
CPU,AoSoA-16,96,18.162304,236.48
CPU,AoSoA-16,97,18.150734,236.63
CPU,AoSoA-16,98,18.141452,236.75
CPU,AoSoA-16,99,18.218665,235.75
CPU,AoSoA-32,0,17.211390,249.54
CPU,AoSoA-32,1,17.210409,249.56
CPU,AoSoA-32,2,17.211619,249.54
CPU,AoSoA-32,3,17.276560,248.60
CPU,AoSoA-32,4,17.246800,249.03
CPU,AoSoA-32,5,17.216789,249.46
CPU,AoSoA-32,6,17.243560,249.08
CPU,AoSoA-32,7,17.210349,249.56
CPU,AoSoA-32,8,17.238339,249.15
CPU,AoSoA-32,9,17.233140,249.23
CPU,AoSoA-32,10,17.197989,249.74
CPU,AoSoA-32,11,17.219660,249.42
CPU,AoSoA-32,12,17.162460,250.25
CPU,AoSoA-32,13,17.197549,249.74
CPU,AoSoA-32,14,17.207009,249.61
CPU,AoSoA-32,15,17.184999,249.93
CPU,AoSoA-32,16,17.233830,249.22
CPU,AoSoA-32,17,17.192979,249.81
CPU,AoSoA-32,18,17.191840,249.83
CPU,AoSoA-32,19,17.200520,249.70
CPU,AoSoA-32,20,17.250079,248.98
CPU,AoSoA-32,21,17.181979,249.97
CPU,AoSoA-32,22,17.152261,250.40
CPU,AoSoA-32,23,17.175659,250.06
CPU,AoSoA-32,24,17.183769,249.94
CPU,AoSoA-32,25,17.189079,249.87
CPU,AoSoA-32,26,17.205049,249.63
CPU,AoSoA-32,27,17.212740,249.52
CPU,AoSoA-32,28,17.196870,249.75
CPU,AoSoA-32,29,17.205599,249.63
CPU,AoSoA-32,30,17.176449,250.05
CPU,AoSoA-32,31,17.213760,249.51
CPU,AoSoA-32,32,17.214179,249.50
CPU,AoSoA-32,33,17.224160,249.36
CPU,AoSoA-32,34,17.197249,249.75
CPU,AoSoA-32,35,17.195590,249.77
CPU,AoSoA-32,36,17.240389,249.12
CPU,AoSoA-32,37,17.188670,249.87
CPU,AoSoA-32,38,17.227229,249.31
CPU,AoSoA-32,39,17.232039,249.24
CPU,AoSoA-32,40,17.215680,249.48
CPU,AoSoA-32,41,17.188830,249.87
