5pt,smem,16384,100,32,8,1,1,0,0,0.001948,689.059,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,1,0.001939,692.346,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,2,0.001940,691.753,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,3,0.001939,692.061,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,4,0.001939,692.118,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,5,0.001936,693.285,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,6,0.001936,693.434,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,7,0.001932,694.847,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,8,0.001931,695.238,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,9,0.001929,695.838,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,10,0.001923,697.795,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,11,0.001924,697.516,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,12,0.001921,698.527,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,13,0.001923,697.818,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,14,0.001919,699.400,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,15,0.001919,699.424,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,16,0.001918,699.645,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,17,0.001919,699.330,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,18,0.001919,699.552,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,19,0.001919,699.505,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,20,0.001917,700.054,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,21,0.001920,699.074,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,22,0.001918,699.704,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,23,0.001918,699.692,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,24,0.001918,699.902,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,25,0.001920,699.074,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,26,0.001917,700.019,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,27,0.001919,699.330,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,28,0.001917,700.171,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,29,0.001918,699.785,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,30,0.001918,699.645,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,31,0.001918,699.891,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,32,0.001917,700.089,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,33,0.001919,699.517,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,34,0.001918,699.820,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,35,0.001918,699.797,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,36,0.001918,699.937,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,37,0.001919,699.564,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,38,0.001918,699.692,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,39,0.001918,699.727,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,40,0.001917,700.077,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,41,0.001919,699.517,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,42,0.001918,699.727,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,43,0.001918,699.715,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,44,0.001917,700.194,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,45,0.001919,699.459,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,46,0.001918,699.680,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,47,0.001918,699.797,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,48,0.001920,699.086,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,49,0.001920,699.051,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,50,0.001920,699.086,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,51,0.001920,699.039,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,52,0.001919,699.540,1.099914e+12
5pt,smem,16384,100,32,8,1,1,0,53,0.001921,698.666,1.099914e+12
