stencil,variant,N,tsteps,BX,BY,TX,TY,PAD,med_time_s,std_time_s,min_gflops,med_gflops,max_gflops,eff_bw_gbs,pct_attainable,pct_peak_bw
box3,smem,16384,100,8,8,4,4,0,0.002882,0.000009,831.16,838.21,849.89,1490.6,40.0,40.0
box3,smem_pad,16384,100,8,8,4,4,1,0.002857,0.000010,839.63,845.52,856.57,1503.7,40.4,40.4
box3,smem_pad,16384,100,8,8,4,4,2,0.002842,0.000009,843.56,850.18,856.51,1511.6,40.6,40.6
box3,smem_swap,16384,100,8,8,4,4,0,0.003559,0.000082,659.41,679.19,697.64,1207.3,32.4,32.4
box4,global,16384,100,32,8,1,1,0,0.001702,0.000026,2499.96,2524.22,2631.57,2524.7,67.8,67.8
box4,smem,16384,100,32,8,1,1,0,0.002326,0.000020,1841.95,1846.22,1894.53,1847.4,49.6,49.6
box4,smem_pad,16384,100,32,8,1,1,1,0.002340,0.000023,1831.35,1835.33,1891.27,1836.4,49.3,49.3
box4,smem_pad,16384,100,32,8,1,1,2,0.002341,0.000022,1831.82,1835.12,1888.13,1836.0,49.3,49.3
box4,smem_swap,16384,100,32,8,1,1,0,0.002315,0.000017,1847.48,1855.19,1895.36,1856.2,49.9,49.9
box4,global,16384,100,16,16,1,1,0,0.001800,0.000021,2379.58,2386.64,2464.61,2387.3,64.1,64.1
box4,smem,16384,100,16,16,1,1,0,0.002409,0.000016,1778.61,1783.21,1816.55,1783.8,47.9,47.9
box4,smem_pad,16384,100,16,16,1,1,1,0.002426,0.000015,1766.23,1770.40,1805.41,1771.3,47.6,47.6
box4,smem_pad,16384,100,16,16,1,1,2,0.002427,0.000015,1763.98,1769.94,1802.16,1770.5,47.6,47.6
box4,smem_swap,16384,100,16,16,1,1,0,0.002409,0.000016,1773.93,1783.13,1814.19,1783.8,47.9,47.9
box4,global,16384,100,32,4,1,1,0,0.001699,0.000043,2505.84,2527.50,2695.35,2529.2,67.9,67.9
box4,smem,16384,100,32,4,1,1,0,0.002473,0.000027,1726.89,1736.59,1790.69,1737.6,46.7,46.7
box4,smem_pad,16384,100,32,4,1,1,1,0.002517,0.000034,1704.53,1706.47,1785.05,1707.2,45.9,45.9
box4,smem_pad,16384,100,32,4,1,1,2,0.002507,0.000032,1711.79,1713.45,1783.74,1714.0,46.1,46.0
box4,smem_swap,16384,100,32,4,1,1,0,0.002481,0.000027,1729.12,1731.12,1792.56,1732.0,46.5,46.5
box4,global,16384,100,32,8,2,1,0,0.002492,0.000009,1679.02,1723.31,1724.06,1724.3,46.3,46.3
box4,smem,16384,100,32,8,2,1,0,0.002256,0.000032,1901.24,1903.77,1983.83,1904.7,51.2,51.2
box4,smem_pad,16384,100,32,8,2,1,1,0.002706,0.000008,1549.18,1587.27,1588.51,1588.0,42.7,42.7
