P,layout,med_gbps,p5_gbps,p95_gbps,spread_pct,n_base,cycles,instructions,L1D-access,L1D-refill,L1D-writeback,L2D-access,L2D-refill,L2D-writeback,mem-access,bus-access,L1D-TLB-access,L1D-TLB-refill,L2D-TLB-access,L2D-TLB-refill,stall-backend
12,AoSoA-16,1423.14,244.39,1458.87,85.3,11184640,981.832386,6738.308888,2117.572320,0.640922,0.690749,1.464489,0.007182,0.645762,1943.130537,2.652697,1987.415674,0.001889,0.001964,0.000012,152.241961
12,AoSoA-64,1166.42,529.20,1192.99,56.9,11184640,975.391242,6627.468211,2081.890913,0.535007,0.688630,1.469532,0.023399,0.803467,1909.027553,3.419397,1949.851717,0.001883,0.001950,0.000010,158.061793
12,AoSoA-128,1168.38,666.94,1191.73,44.9,11184640,970.776228,6587.801054,2071.546615,0.567499,0.684287,1.455426,0.031405,0.805283,1904.174811,3.425432,1952.768833,0.001894,0.001973,0.000011,158.439132
12,AoSoA-512,1209.16,681.32,1229.97,45.4,11184640,970.333417,6598.908826,2072.099368,0.479460,0.691792,1.528755,0.050067,0.714664,1901.844633,3.225955,1955.432030,0.001897,0.001975,0.000011,156.079771
15,AoS,739.19,537.80,749.53,28.6,8947712,1268.556564,8268.418574,2604.825692,1.402508,1.656535,3.403327,0.002508,1.551723,2392.865221,6.378691,2461.659594,0.002404,0.002506,0.000012,243.440278
15,SoA,1338.74,386.72,1369.69,73.4,8947712,1208.819028,8303.688264,2615.976985,6.948856,4.159525,14.972878,0.027693,0.827098,2406.356997,3.383167,2475.820845,0.001933,0.002049,0.000017,185.372750
15,AoSoA-16,1432.65,322.00,1456.98,79.2,8947712,1207.164231,8260.151884,2597.468330,0.795365,0.862096,1.821624,0.008778,0.811383,2395.334707,3.339886,2466.868795,0.002347,0.002462,0.000013,188.727324
15,AoSoA-64,1131.40,232.58,1144.77,80.6,8947712,1228.556493,8302.338558,2610.672150,0.747046,0.855665,1.826361,0.029793,1.045576,2401.536169,4.487293,2477.309165,0.002388,0.002446,0.000015,201.941172
15,AoSoA-128,1155.79,894.00,1187.17,25.4,8947712,1216.642286,8226.848169,2583.764893,0.744652,0.851294,1.798070,0.033946,1.027664,2383.402263,4.376384,2460.464466,0.002441,0.002524,0.000016,199.946938
15,AoSoA-512,1214.71,214.12,1229.30,83.6,8947712,1238.939342,8414.694923,2639.993152,0.585996,0.860906,1.890144,0.061702,0.898822,2436.605713,4.048693,2519.212502,0.002397,0.002472,0.000018,197.830250
