layout,run,ms,gbps
AoSoA-2,54,2.532005,848.14
AoSoA-2,55,3.505945,612.53
AoSoA-2,56,2.560139,838.82
AoSoA-2,57,2.506971,856.60
AoSoA-2,58,2.513170,854.49
AoSoA-2,59,2.538919,845.83
AoSoA-2,60,2.516985,853.20
AoSoA-2,61,2.549887,842.19
AoSoA-2,62,2.516985,853.20
AoSoA-2,63,2.576828,833.38
AoSoA-2,64,2.518892,852.55
AoSoA-2,65,7.380962,290.95
AoSoA-2,66,2.521038,851.83
AoSoA-2,67,2.521038,851.83
AoSoA-2,68,2.506971,856.60
AoSoA-2,69,2.509117,855.87
AoSoA-2,70,2.522945,851.18
AoSoA-2,71,2.520084,852.15
AoSoA-2,72,2.530098,848.77
AoSoA-2,73,2.537012,846.46
AoSoA-2,74,2.520084,852.15
AoSoA-2,75,2.531052,848.46
AoSoA-2,76,3.529072,608.51
AoSoA-2,77,2.532005,848.14
AoSoA-2,78,2.533197,847.74
AoSoA-2,79,2.538919,845.83
AoSoA-2,80,2.517939,852.87
AoSoA-2,81,2.499104,859.30
AoSoA-2,82,2.512932,854.57
AoSoA-2,83,2.521992,851.50
AoSoA-2,84,2.512932,854.57
AoSoA-2,85,2.503157,857.91
AoSoA-2,86,2.524853,850.54
AoSoA-2,87,2.557993,839.52
AoSoA-2,88,2.515793,853.60
AoSoA-2,89,2.519131,852.47
AoSoA-2,90,2.506018,856.93
AoSoA-2,91,2.512932,854.57
AoSoA-2,92,2.544880,843.84
AoSoA-2,93,2.549171,842.42
AoSoA-2,94,2.506018,856.93
AoSoA-2,95,2.543926,844.16
AoSoA-2,96,2.557993,839.52
AoSoA-2,97,2.520800,851.91
AoSoA-2,98,2.541065,845.11
AoSoA-2,99,2.527952,849.50
AoSoA-4,0,2.542973,844.48
AoSoA-4,1,2.567053,836.56
AoSoA-4,2,2.568007,836.25
AoSoA-4,3,2.551794,841.56
AoSoA-4,4,2.593994,827.87
AoSoA-4,5,2.574921,834.00
AoSoA-4,6,2.531052,848.46
AoSoA-4,7,2.652884,809.49
AoSoA-4,8,2.557993,839.52
AoSoA-4,9,2.562046,838.19
AoSoA-4,10,2.655983,808.55
AoSoA-4,11,2.558947,839.21
AoSoA-4,12,2.548933,842.50
AoSoA-4,13,2.586126,830.39
AoSoA-4,14,2.554178,840.77
AoSoA-4,15,2.576113,833.61
AoSoA-4,16,8.010864,268.07
AoSoA-4,17,2.562046,838.19
AoSoA-4,18,2.542973,844.48
AoSoA-4,19,2.528191,849.42
AoSoA-4,20,2.618074,820.25
AoSoA-4,21,2.526999,849.82
AoSoA-4,22,2.528191,849.42
AoSoA-4,23,2.552986,841.17
AoSoA-4,24,2.533197,847.74
AoSoA-4,25,2.537966,846.14
AoSoA-4,26,2.545834,843.53
AoSoA-4,27,2.526045,850.14
AoSoA-4,28,2.537966,846.14
AoSoA-4,29,2.615929,820.93
AoSoA-4,30,2.525091,850.46
AoSoA-4,31,3.247976,661.18
AoSoA-4,32,2.531052,848.46
AoSoA-4,33,2.542019,844.79
AoSoA-4,34,2.517939,852.87
AoSoA-4,35,2.533913,847.50
