Running on nid005694
Threads: 288
Building GPU (nvcc)
Loading data...

=== GPU SWEEP: variant x tblock x coarsen x unroll ===
variant                            tblock   cf  median_ms ok
gpu_baseline_aos_u                    128    4     2.7483 PASS
gpu_eigts_t_aos                       128    4     2.8657 PASS
gpu_eigts_t_aos_u                     128    4     2.8979 PASS
gpu_shared_bec_aos                    128    4     2.5101 PASS
gpu_shared_bec_aos_u                  128    4     2.9021 PASS
gpu_optimized_aos                     128    4     2.0844 PASS
gpu_optimized_aos_u                   128    4     1.4312 PASS
gpu_baseline_soa                      128    4     2.5219 PASS
gpu_baseline_soa_u                    128    4     2.9519 PASS
gpu_eigts_t_soa                       128    4     2.5160 PASS
gpu_eigts_t_soa_u                     128    4     2.1955 PASS
gpu_shared_bec_soa                    128    4     2.0198 PASS
gpu_shared_bec_soa_u                  128    4     2.9568 PASS
gpu_optimized_soa                     128    4     2.5113 PASS
gpu_optimized_soa_u                   128    4     1.8788 PASS
gpu_baseline_aos                      128    8     6.1866 PASS
gpu_baseline_aos_u                    128    8     5.0493 PASS
gpu_eigts_t_aos                       128    8     5.8586 PASS
gpu_eigts_t_aos_u                     128    8     5.9581 PASS
gpu_shared_bec_aos                    128    8     5.7511 PASS
gpu_shared_bec_aos_u                  128    8     4.7788 PASS
gpu_optimized_aos                     128    8     4.0811 PASS
gpu_optimized_aos_u                   128    8     2.8135 PASS
gpu_baseline_soa                      128    8     5.3464 PASS
gpu_baseline_soa_u                    128    8     6.5297 PASS
gpu_eigts_t_soa                       128    8     5.3374 PASS
gpu_eigts_t_soa_u                     128    8     4.8360 PASS
gpu_shared_bec_soa                    128    8     4.2516 PASS
gpu_shared_bec_soa_u                  128    8     3.3711 PASS
gpu_optimized_soa                     128    8     4.9316 PASS
gpu_optimized_soa_u                   128    8     3.6379 PASS
gpu_baseline_aos                      128   16    11.7412 PASS
gpu_baseline_aos_u                    128   16     7.4449 PASS
gpu_eigts_t_aos                       128   16    11.1725 PASS
gpu_eigts_t_aos_u                     128   16     9.2509 PASS
