variant,M,N,tile,nthreads,rep,time_s,bw_gbs,checksum,status
blk_all_rm,16384,16384,16,288,77,0.005466550,1571.363,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,78,0.005483924,1566.385,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,79,0.005495893,1562.973,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,80,0.005467414,1571.115,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,81,0.005468406,1570.830,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,82,0.005505300,1560.303,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,83,0.005674959,1513.656,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,84,0.006135681,1399.997,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,85,0.006691247,1283.757,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,86,0.005414807,1586.379,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,87,0.005477621,1568.187,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,88,0.005424375,1583.581,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,89,0.005483605,1566.476,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,90,0.005836170,1471.844,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,91,0.005554482,1546.487,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,92,0.005453462,1575.134,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,93,0.006188575,1388.031,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,94,0.005415319,1586.229,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,95,0.005445494,1577.439,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,96,0.005465557,1571.649,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,97,0.005553363,1546.799,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,98,0.006326075,1357.862,2.681670e+09,PASS
blk_all_rm,16384,16384,16,288,99,0.005476597,1568.480,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,0,0.005276059,1628.097,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,1,0.005562995,1544.120,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,2,0.005647409,1521.040,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,3,0.005398519,1591.165,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,4,0.005448022,1576.707,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,5,0.005548146,1548.253,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,6,0.005573138,1541.310,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,7,0.005393848,1592.543,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,8,0.005448374,1576.605,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,9,0.005413495,1586.763,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,10,0.005412280,1587.119,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,11,0.005379256,1596.863,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,12,0.005401079,1590.411,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,13,0.005436566,1580.029,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,14,0.007591795,1131.476,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,15,0.005465334,1571.713,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,16,0.005384696,1595.250,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,17,0.005444758,1577.652,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,18,0.005380568,1596.474,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,19,0.006195551,1386.468,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,20,0.005425751,1583.179,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,21,0.005425687,1583.198,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,22,0.005526291,1554.376,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,23,0.005378840,1596.986,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,24,0.005330522,1611.462,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,25,0.006252636,1373.810,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,26,0.005529171,1553.566,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,27,0.005419542,1584.993,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,28,0.005488821,1564.987,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,29,0.005426647,1582.918,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,30,0.005449718,1576.216,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,31,0.007170016,1198.036,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,32,0.005424598,1583.515,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,33,0.005381720,1596.132,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,34,0.005368248,1600.137,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,35,0.005322105,1614.011,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,36,0.005387287,1594.482,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,37,0.005321402,1614.224,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,38,0.006745870,1273.362,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,39,0.005500597,1561.637,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,40,0.005824874,1474.699,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,41,0.005558130,1545.472,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,42,0.005379896,1596.673,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,43,0.012405917,692.406,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,44,0.006600114,1301.483,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,45,0.005491285,1564.285,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,46,0.005424022,1583.684,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,47,0.005460533,1573.095,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,48,0.005414679,1586.416,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,49,0.007498038,1145.624,2.681670e+09,PASS
blk_conflict,16384,16384,16,288,50,0.005424439,1583.562,2.681670e+09,PASS
